# A   chi2(A)
  0.000000E+00    1.750961E+01
  3.000300E-02    1.750981E+01
  6.000600E-02    1.751001E+01
  9.000900E-02    1.751021E+01
  1.200120E-01    1.751041E+01
  1.500150E-01    1.751061E+01
  1.800180E-01    1.751081E+01
  2.100210E-01    1.751101E+01
  2.400240E-01    1.751121E+01
  2.700270E-01    1.751141E+01
  3.000300E-01    1.751161E+01
  3.300330E-01    1.751181E+01
  3.600360E-01    1.751201E+01
  3.900390E-01    1.751222E+01
  4.200420E-01    1.751242E+01
  4.500450E-01    1.751262E+01
  4.800480E-01    1.751282E+01
  5.100510E-01    1.751303E+01
  5.400540E-01    1.751323E+01
  5.700570E-01    1.751343E+01
  6.000600E-01    1.751364E+01
  6.300630E-01    1.751384E+01
  6.600660E-01    1.751405E+01
  6.900690E-01    1.751425E+01
  7.200720E-01    1.751446E+01
  7.500750E-01    1.751466E+01
  7.800780E-01    1.751487E+01
  8.100810E-01    1.751508E+01
  8.400840E-01    1.751528E+01
  8.700870E-01    1.751549E+01
  9.000900E-01    1.751570E+01
  9.300930E-01    1.751590E+01
  9.600960E-01    1.751611E+01
  9.900990E-01    1.751632E+01
  1.020102E+00    1.751653E+01
  1.050105E+00    1.751674E+01
  1.080108E+00    1.751695E+01
  1.110111E+00    1.751716E+01
  1.140114E+00    1.751737E+01
  1.170117E+00    1.751758E+01
  1.200120E+00    1.751779E+01
  1.230123E+00    1.751800E+01
  1.260126E+00    1.751821E+01
  1.290129E+00    1.751842E+01
  1.320132E+00    1.751863E+01
  1.350135E+00    1.751884E+01
  1.380138E+00    1.751906E+01
  1.410141E+00    1.751927E+01
  1.440144E+00    1.751948E+01
  1.470147E+00    1.751969E+01
  1.500150E+00    1.751991E+01
  1.530153E+00    1.752012E+01
  1.560156E+00    1.752034E+01
  1.590159E+00    1.752055E+01
  1.620162E+00    1.752077E+01
  1.650165E+00    1.752098E+01
  1.680168E+00    1.752120E+01
  1.710171E+00    1.752141E+01
  1.740174E+00    1.752163E+01
  1.770177E+00    1.752184E+01
  1.800180E+00    1.752206E+01
  1.830183E+00    1.752228E+01
  1.860186E+00    1.752249E+01
  1.890189E+00    1.752271E+01
  1.920192E+00    1.752293E+01
  1.950195E+00    1.752315E+01
  1.980198E+00    1.752337E+01
  2.010201E+00    1.752359E+01
  2.040204E+00    1.752381E+01
  2.070207E+00    1.752402E+01
  2.100210E+00    1.752424E+01
  2.130213E+00    1.752446E+01
  2.160216E+00    1.752468E+01
  2.190219E+00    1.752491E+01
  2.220222E+00    1.752513E+01
  2.250225E+00    1.752535E+01
  2.280228E+00    1.752557E+01
  2.310231E+00    1.752579E+01
  2.340234E+00    1.752601E+01
  2.370237E+00    1.752624E+01
  2.400240E+00    1.752646E+01
  2.430243E+00    1.752668E+01
  2.460246E+00    1.752691E+01
  2.490249E+00    1.752713E+01
  2.520252E+00    1.752735E+01
  2.550255E+00    1.752758E+01
  2.580258E+00    1.752780E+01
  2.610261E+00    1.752803E+01
  2.640264E+00    1.752825E+01
  2.670267E+00    1.752848E+01
  2.700270E+00    1.752871E+01
  2.730273E+00    1.752893E+01
  2.760276E+00    1.752916E+01
  2.790279E+00    1.752939E+01
  2.820282E+00    1.752961E+01
  2.850285E+00    1.752984E+01
  2.880288E+00    1.753007E+01
  2.910291E+00    1.753030E+01
  2.940294E+00    1.753052E+01
  2.970297E+00    1.753075E+01
  3.000300E+00    1.753098E+01
  3.030303E+00    1.753121E+01
  3.060306E+00    1.753144E+01
  3.090309E+00    1.753167E+01
  3.120312E+00    1.753190E+01
  3.150315E+00    1.753213E+01
  3.180318E+00    1.753236E+01
  3.210321E+00    1.753260E+01
  3.240324E+00    1.753283E+01
  3.270327E+00    1.753306E+01
  3.300330E+00    1.753329E+01
  3.330333E+00    1.753352E+01
  3.360336E+00    1.753376E+01
  3.390339E+00    1.753399E+01
  3.420342E+00    1.753422E+01
  3.450345E+00    1.753446E+01
  3.480348E+00    1.753469E+01
  3.510351E+00    1.753493E+01
  3.540354E+00    1.753516E+01
  3.570357E+00    1.753540E+01
  3.600360E+00    1.753563E+01
  3.630363E+00    1.753587E+01
  3.660366E+00    1.753610E+01
  3.690369E+00    1.753634E+01
  3.720372E+00    1.753658E+01
  3.750375E+00    1.753681E+01
  3.780378E+00    1.753705E+01
  3.810381E+00    1.753729E+01
  3.840384E+00    1.753753E+01
  3.870387E+00    1.753776E+01
  3.900390E+00    1.753800E+01
  3.930393E+00    1.753824E+01
  3.960396E+00    1.753848E+01
  3.990399E+00    1.753872E+01
  4.020402E+00    1.753896E+01
  4.050405E+00    1.753920E+01
  4.080408E+00    1.753944E+01
  4.110411E+00    1.753968E+01
  4.140414E+00    1.753992E+01
  4.170417E+00    1.754016E+01
  4.200420E+00    1.754040E+01
  4.230423E+00    1.754065E+01
  4.260426E+00    1.754089E+01
  4.290429E+00    1.754113E+01
  4.320432E+00    1.754137E+01
  4.350435E+00    1.754162E+01
  4.380438E+00    1.754186E+01
  4.410441E+00    1.754210E+01
  4.440444E+00    1.754235E+01
  4.470447E+00    1.754259E+01
  4.500450E+00    1.754284E+01
  4.530453E+00    1.754308E+01
  4.560456E+00    1.754333E+01
  4.590459E+00    1.754357E+01
  4.620462E+00    1.754382E+01
  4.650465E+00    1.754407E+01
  4.680468E+00    1.754431E+01
  4.710471E+00    1.754456E+01
  4.740474E+00    1.754481E+01
  4.770477E+00    1.754505E+01
  4.800480E+00    1.754530E+01
  4.830483E+00    1.754555E+01
  4.860486E+00    1.754580E+01
  4.890489E+00    1.754605E+01
  4.920492E+00    1.754630E+01
  4.950495E+00    1.754655E+01
  4.980498E+00    1.754680E+01
  5.010501E+00    1.754705E+01
  5.040504E+00    1.754730E+01
  5.070507E+00    1.754755E+01
  5.100510E+00    1.754780E+01
  5.130513E+00    1.754805E+01
  5.160516E+00    1.754830E+01
  5.190519E+00    1.754855E+01
  5.220522E+00    1.754881E+01
  5.250525E+00    1.754906E+01
  5.280528E+00    1.754931E+01
  5.310531E+00    1.754956E+01
  5.340534E+00    1.754982E+01
  5.370537E+00    1.755007E+01
  5.400540E+00    1.755033E+01
  5.430543E+00    1.755058E+01
  5.460546E+00    1.755083E+01
  5.490549E+00    1.755109E+01
  5.520552E+00    1.755134E+01
  5.550555E+00    1.755160E+01
  5.580558E+00    1.755186E+01
  5.610561E+00    1.755211E+01
  5.640564E+00    1.755237E+01
  5.670567E+00    1.755263E+01
  5.700570E+00    1.755288E+01
  5.730573E+00    1.755314E+01
  5.760576E+00    1.755340E+01
  5.790579E+00    1.755366E+01
  5.820582E+00    1.755392E+01
  5.850585E+00    1.755417E+01
  5.880588E+00    1.755443E+01
  5.910591E+00    1.755469E+01
  5.940594E+00    1.755495E+01
  5.970597E+00    1.755521E+01
  6.000600E+00    1.755547E+01
  6.030603E+00    1.755573E+01
  6.060606E+00    1.755599E+01
  6.090609E+00    1.755626E+01
  6.120612E+00    1.755652E+01
  6.150615E+00    1.755678E+01
  6.180618E+00    1.755704E+01
  6.210621E+00    1.755730E+01
  6.240624E+00    1.755757E+01
  6.270627E+00    1.755783E+01
  6.300630E+00    1.755809E+01
  6.330633E+00    1.755836E+01
  6.360636E+00    1.755862E+01
  6.390639E+00    1.755889E+01
  6.420642E+00    1.755915E+01
  6.450645E+00    1.755942E+01
  6.480648E+00    1.755968E+01
  6.510651E+00    1.755995E+01
  6.540654E+00    1.756021E+01
  6.570657E+00    1.756048E+01
  6.600660E+00    1.756075E+01
  6.630663E+00    1.756101E+01
  6.660666E+00    1.756128E+01
  6.690669E+00    1.756155E+01
  6.720672E+00    1.756182E+01
  6.750675E+00    1.756208E+01
  6.780678E+00    1.756235E+01
  6.810681E+00    1.756262E+01
  6.840684E+00    1.756289E+01
  6.870687E+00    1.756316E+01
  6.900690E+00    1.756343E+01
  6.930693E+00    1.756370E+01
  6.960696E+00    1.756397E+01
  6.990699E+00    1.756424E+01
  7.020702E+00    1.756451E+01
  7.050705E+00    1.756478E+01
  7.080708E+00    1.756505E+01
  7.110711E+00    1.756533E+01
  7.140714E+00    1.756560E+01
