# sin2theta_W    chi2
  0.010000       19.3206
  0.010163       19.3138
  0.010327       19.3071
  0.010490       19.3003
  0.010653       19.2935
  0.010817       19.2867
  0.010980       19.2799
  0.011143       19.2731
  0.011307       19.2662
  0.011470       19.2594
  0.011633       19.2525
  0.011797       19.2456
  0.011960       19.2387
  0.012123       19.2318
  0.012287       19.2249
  0.012450       19.2180
  0.012613       19.2110
  0.012777       19.2041
  0.012940       19.1971
  0.013103       19.1902
  0.013267       19.1832
  0.013430       19.1762
  0.013593       19.1692
  0.013757       19.1621
  0.013920       19.1551
  0.014083       19.1481
  0.014247       19.1410
  0.014410       19.1339
  0.014573       19.1268
  0.014737       19.1197
  0.014900       19.1126
  0.015063       19.1055
  0.015227       19.0984
  0.015390       19.0912
  0.015553       19.0841
  0.015717       19.0769
  0.015880       19.0697
  0.016043       19.0625
  0.016207       19.0553
  0.016370       19.0481
  0.016533       19.0409
  0.016697       19.0336
  0.016860       19.0264
  0.017023       19.0191
  0.017187       19.0118
  0.017350       19.0046
  0.017513       18.9973
  0.017677       18.9899
  0.017840       18.9826
  0.018003       18.9753
  0.018167       18.9679
  0.018330       18.9606
  0.018493       18.9532
  0.018657       18.9458
  0.018820       18.9384
  0.018983       18.9310
  0.019147       18.9236
  0.019310       18.9162
  0.019473       18.9087
  0.019637       18.9013
  0.019800       18.8938
  0.019963       18.8863
  0.020127       18.8788
  0.020290       18.8713
  0.020453       18.8638
  0.020617       18.8563
  0.020780       18.8488
  0.020943       18.8412
  0.021107       18.8337
  0.021270       18.8261
  0.021433       18.8185
  0.021597       18.8109
  0.021760       18.8033
  0.021923       18.7957
  0.022087       18.7881
  0.022250       18.7804
  0.022413       18.7728
  0.022577       18.7651
  0.022740       18.7574
  0.022903       18.7497
  0.023067       18.7420
  0.023230       18.7343
  0.023393       18.7266
  0.023557       18.7189
  0.023720       18.7111
  0.023883       18.7034
  0.024047       18.6956
  0.024210       18.6878
  0.024373       18.6800
  0.024537       18.6722
  0.024700       18.6644
  0.024863       18.6566
  0.025027       18.6488
  0.025190       18.6409
  0.025353       18.6330
  0.025517       18.6252
  0.025680       18.6173
  0.025843       18.6094
  0.026007       18.6015
  0.026170       18.5936
  0.026333       18.5857
  0.026497       18.5777
  0.026660       18.5698
  0.026823       18.5618
  0.026987       18.5538
  0.027150       18.5459
  0.027313       18.5379
  0.027477       18.5299
  0.027640       18.5218
  0.027803       18.5138
  0.027967       18.5058
  0.028130       18.4977
  0.028293       18.4897
  0.028457       18.4816
  0.028620       18.4735
  0.028783       18.4654
  0.028947       18.4573
  0.029110       18.4492
  0.029273       18.4411
  0.029437       18.4329
  0.029600       18.4248
  0.029763       18.4166
  0.029927       18.4084
  0.030090       18.4003
  0.030253       18.3921
  0.030417       18.3839
  0.030580       18.3756
  0.030743       18.3674
  0.030907       18.3592
  0.031070       18.3509
  0.031233       18.3427
  0.031397       18.3344
  0.031560       18.3261
  0.031723       18.3178
  0.031887       18.3095
  0.032050       18.3012
  0.032213       18.2929
  0.032377       18.2846
  0.032540       18.2762
  0.032703       18.2679
  0.032867       18.2595
  0.033030       18.2511
  0.033193       18.2427
  0.033357       18.2343
  0.033520       18.2259
  0.033683       18.2175
  0.033847       18.2091
  0.034010       18.2006
  0.034173       18.1922
  0.034337       18.1837
  0.034500       18.1752
  0.034663       18.1667
  0.034827       18.1582
  0.034990       18.1497
  0.035153       18.1412
  0.035317       18.1327
  0.035480       18.1242
  0.035643       18.1156
  0.035807       18.1071
  0.035970       18.0985
  0.036133       18.0899
  0.036297       18.0813
  0.036460       18.0727
  0.036623       18.0641
  0.036787       18.0555
  0.036950       18.0468
  0.037113       18.0382
  0.037277       18.0296
  0.037440       18.0209
  0.037603       18.0122
  0.037767       18.0035
  0.037930       17.9948
  0.038093       17.9861
  0.038257       17.9774
  0.038420       17.9687
  0.038583       17.9600
  0.038747       17.9512
  0.038910       17.9425
  0.039073       17.9337
  0.039237       17.9249
  0.039400       17.9161
  0.039563       17.9073
  0.039727       17.8985
  0.039890       17.8897
  0.040053       17.8809
  0.040217       17.8721
  0.040380       17.8632
  0.040543       17.8544
  0.040707       17.8455
  0.040870       17.8366
  0.041033       17.8277
  0.041197       17.8188
  0.041360       17.8099
  0.041523       17.8010
  0.041687       17.7921
  0.041850       17.7831
  0.042013       17.7742
  0.042177       17.7652
  0.042340       17.7563
  0.042503       17.7473
  0.042667       17.7383
  0.042830       17.7293
  0.042993       17.7203
  0.043157       17.7113
  0.043320       17.7023
  0.043483       17.6932
  0.043647       17.6842
  0.043810       17.6751
  0.043973       17.6661
  0.044137       17.6570
  0.044300       17.6479
  0.044463       17.6388
  0.044627       17.6297
  0.044790       17.6206
  0.044953       17.6115
  0.045117       17.6023
  0.045280       17.5932
  0.045443       17.5840
  0.045607       17.5749
  0.045770       17.5657
  0.045933       17.5565
  0.046097       17.5473
  0.046260       17.5381
  0.046423       17.5289
  0.046587       17.5197
  0.046750       17.5105
  0.046913       17.5013
  0.047077       17.4920
  0.047240       17.4828
  0.047403       17.4735
  0.047567       17.4642
  0.047730       17.4549
  0.047893       17.4456
  0.048057       17.4363
  0.048220       17.4270
  0.048383       17.4177
  0.048547       17.4084
  0.048710       17.3990
  0.048873       17.3897
  0.049037       17.3803
  0.049200       17.3710
  0.049363       17.3616
  0.049527       17.3522
  0.049690       17.3428
  0.049853       17.3334
  0.050017       17.3240
  0.050180       17.3146
  0.050343       17.3051
  0.050507       17.2957
  0.050670       17.2862
  0.050833       17.2768
  0.050997       17.2673
  0.051160       17.2578
  0.051323       17.2484
  0.051487       17.2389
  0.051650       17.2294
  0.051813       17.2199
  0.051977       17.2103
  0.052140       17.2008
  0.052303       17.1913
  0.052467       17.1817
  0.052630       17.1722
  0.052793       17.1626
  0.052957       17.1530
  0.053120       17.1434
  0.053283       17.1339
  0.053447       17.1243
  0.053610       17.1146
  0.053773       17.1050
  0.053937       17.0954
  0.054100       17.0858
  0.054263       17.0761
  0.054427       17.0665
  0.054590       17.0568
  0.054753       17.0471
  0.054917       17.0375
  0.055080       17.0278
  0.055243       17.0181
  0.055407       17.0084
  0.055570       16.9987
  0.055733       16.9890
  0.055897       16.9792
  0.056060       16.9695
  0.056223       16.9597
  0.056387       16.9500
  0.056550       16.9402
  0.056713       16.9305
  0.056877       16.9207
  0.057040       16.9109
  0.057203       16.9011
  0.057367       16.8913
  0.057530       16.8815
  0.057693       16.8717
  0.057857       16.8618
  0.058020       16.8520
  0.058183       16.8422
  0.058347       16.8323
  0.058510       16.8224
  0.058673       16.8126
  0.058837       16.8027
  0.059000       16.7928
  0.059163       16.7829
  0.059327       16.7730
  0.059490       16.7631
  0.059653       16.7532
  0.059817       16.7433
  0.059980       16.7333
  0.060143       16.7234
  0.060307       16.7135
  0.060470       16.7035
  0.060633       16.6935
  0.060797       16.6836
  0.060960       16.6736
  0.061123       16.6636
  0.061287       16.6536
  0.061450       16.6436
  0.061613       16.6336
  0.061777       16.6236
  0.061940       16.6135
  0.062103       16.6035
  0.062267       16.5935
  0.062430       16.5834
  0.062593       16.5734
  0.062757       16.5633
  0.062920       16.5532
  0.063083       16.5431
  0.063247       16.5331
  0.063410       16.5230
  0.063573       16.5129
  0.063737       16.5028
  0.063900       16.4926
  0.064063       16.4825
  0.064227       16.4724
  0.064390       16.4622
  0.064553       16.4521
  0.064717       16.4419
  0.064880       16.4318
  0.065043       16.4216
  0.065207       16.4114
  0.065370       16.4013
  0.065533       16.3911
  0.065697       16.3809
  0.065860       16.3707
  0.066023       16.3604
  0.066187       16.3502
  0.066350       16.3400
  0.066513       16.3298
  0.066677       16.3195
