# NE_LO   sin2theta_W   A(s)   dchi2
    1    0.000000E+00    3.567709E-02    6.809416E+03
    2    0.000000E+00    3.567709E-02    4.969798E+03
    3    0.000000E+00    3.567709E-02    3.757416E+03
    4    0.000000E+00    3.567709E-02    2.857334E+03
    1    1.666667E-04    3.589148E-02    6.806388E+03
    2    1.666667E-04    3.589148E-02    4.967589E+03
    3    1.666667E-04    3.589148E-02    3.755746E+03
    4    1.666667E-04    3.589148E-02    2.856063E+03
    1    3.333333E-04    3.610650E-02    6.803353E+03
    2    3.333333E-04    3.610650E-02    4.965373E+03
    3    3.333333E-04    3.610650E-02    3.754070E+03
    4    3.333333E-04    3.610650E-02    2.854789E+03
    1    5.000000E-04    3.632217E-02    6.800309E+03
    2    5.000000E-04    3.632217E-02    4.963151E+03
    3    5.000000E-04    3.632217E-02    3.752391E+03
    4    5.000000E-04    3.632217E-02    2.853512E+03
    1    6.666667E-04    3.653848E-02    6.797256E+03
    2    6.666667E-04    3.653848E-02    4.960923E+03
    3    6.666667E-04    3.653848E-02    3.750706E+03
    4    6.666667E-04    3.653848E-02    2.852231E+03
    1    8.333333E-04    3.675543E-02    6.794195E+03
    2    8.333333E-04    3.675543E-02    4.958689E+03
    3    8.333333E-04    3.675543E-02    3.749017E+03
    4    8.333333E-04    3.675543E-02    2.850947E+03
    1    1.000000E-03    3.697303E-02    6.791126E+03
    2    1.000000E-03    3.697303E-02    4.956449E+03
    3    1.000000E-03    3.697303E-02    3.747324E+03
    4    1.000000E-03    3.697303E-02    2.849659E+03
    1    1.166667E-03    3.719127E-02    6.788048E+03
    2    1.166667E-03    3.719127E-02    4.954203E+03
    3    1.166667E-03    3.719127E-02    3.745626E+03
    4    1.166667E-03    3.719127E-02    2.848367E+03
    1    1.333333E-03    3.741014E-02    6.784962E+03
    2    1.333333E-03    3.741014E-02    4.951951E+03
    3    1.333333E-03    3.741014E-02    3.743923E+03
    4    1.333333E-03    3.741014E-02    2.847073E+03
    1    1.500000E-03    3.762967E-02    6.781868E+03
    2    1.500000E-03    3.762967E-02    4.949693E+03
    3    1.500000E-03    3.762967E-02    3.742215E+03
    4    1.500000E-03    3.762967E-02    2.845774E+03
    1    1.666667E-03    3.784983E-02    6.778766E+03
    2    1.666667E-03    3.784983E-02    4.947428E+03
    3    1.666667E-03    3.784983E-02    3.740503E+03
    4    1.666667E-03    3.784983E-02    2.844472E+03
    1    1.833333E-03    3.807063E-02    6.775655E+03
    2    1.833333E-03    3.807063E-02    4.945158E+03
    3    1.833333E-03    3.807063E-02    3.738787E+03
    4    1.833333E-03    3.807063E-02    2.843167E+03
    1    2.000000E-03    3.829208E-02    6.772535E+03
    2    2.000000E-03    3.829208E-02    4.942881E+03
    3    2.000000E-03    3.829208E-02    3.737065E+03
    4    2.000000E-03    3.829208E-02    2.841858E+03
    1    2.166667E-03    3.851417E-02    6.769408E+03
    2    2.166667E-03    3.851417E-02    4.940598E+03
    3    2.166667E-03    3.851417E-02    3.735340E+03
    4    2.166667E-03    3.851417E-02    2.840545E+03
    1    2.333333E-03    3.873690E-02    6.766272E+03
    2    2.333333E-03    3.873690E-02    4.938310E+03
    3    2.333333E-03    3.873690E-02    3.733609E+03
    4    2.333333E-03    3.873690E-02    2.839230E+03
    1    2.500000E-03    3.896028E-02    6.763127E+03
    2    2.500000E-03    3.896028E-02    4.936015E+03
    3    2.500000E-03    3.896028E-02    3.731874E+03
    4    2.500000E-03    3.896028E-02    2.837910E+03
    1    2.666667E-03    3.918429E-02    6.759975E+03
    2    2.666667E-03    3.918429E-02    4.933714E+03
    3    2.666667E-03    3.918429E-02    3.730135E+03
    4    2.666667E-03    3.918429E-02    2.836587E+03
    1    2.833333E-03    3.940895E-02    6.756814E+03
    2    2.833333E-03    3.940895E-02    4.931407E+03
    3    2.833333E-03    3.940895E-02    3.728390E+03
    4    2.833333E-03    3.940895E-02    2.835261E+03
    1    3.000000E-03    3.963425E-02    6.753645E+03
    2    3.000000E-03    3.963425E-02    4.929094E+03
    3    3.000000E-03    3.963425E-02    3.726642E+03
    4    3.000000E-03    3.963425E-02    2.833931E+03
    1    3.166667E-03    3.986020E-02    6.750467E+03
    2    3.166667E-03    3.986020E-02    4.926775E+03
    3    3.166667E-03    3.986020E-02    3.724888E+03
    4    3.166667E-03    3.986020E-02    2.832598E+03
    1    3.333333E-03    4.008678E-02    6.747282E+03
    2    3.333333E-03    4.008678E-02    4.924450E+03
    3    3.333333E-03    4.008678E-02    3.723131E+03
    4    3.333333E-03    4.008678E-02    2.831261E+03
    1    3.500000E-03    4.031401E-02    6.744088E+03
    2    3.500000E-03    4.031401E-02    4.922119E+03
    3    3.500000E-03    4.031401E-02    3.721368E+03
    4    3.500000E-03    4.031401E-02    2.829921E+03
    1    3.666667E-03    4.054188E-02    6.740885E+03
    2    3.666667E-03    4.054188E-02    4.919782E+03
    3    3.666667E-03    4.054188E-02    3.719601E+03
    4    3.666667E-03    4.054188E-02    2.828577E+03
    1    3.833333E-03    4.077039E-02    6.737675E+03
    2    3.833333E-03    4.077039E-02    4.917438E+03
    3    3.833333E-03    4.077039E-02    3.717830E+03
    4    3.833333E-03    4.077039E-02    2.827230E+03
    1    4.000000E-03    4.099955E-02    6.734456E+03
    2    4.000000E-03    4.099955E-02    4.915089E+03
    3    4.000000E-03    4.099955E-02    3.716053E+03
