# NE_LO   sin2theta_W   A(s)   dchi2
    1    0.000000E+00    9.523145E-02    1.734177E+03
    2    0.000000E+00    9.523145E-02    3.363687E+02
    3    0.000000E+00    9.523145E-02    5.851158E+01
    4    0.000000E+00    9.523145E-02    9.945299E+00
    1    1.666667E-04    9.552979E-02    1.733033E+03
    2    1.666667E-04    9.552979E-02    3.361469E+02
    3    1.666667E-04    9.552979E-02    5.847299E+01
    4    1.666667E-04    9.552979E-02    9.938741E+00
    1    3.333333E-04    9.582861E-02    1.731888E+03
    2    3.333333E-04    9.582861E-02    3.359249E+02
    3    3.333333E-04    9.582861E-02    5.843436E+01
    4    3.333333E-04    9.582861E-02    9.932175E+00
    1    5.000000E-04    9.612789E-02    1.730742E+03
    2    5.000000E-04    9.612789E-02    3.357025E+02
    3    5.000000E-04    9.612789E-02    5.839569E+01
    4    5.000000E-04    9.612789E-02    9.925601E+00
    1    6.666667E-04    9.642764E-02    1.729594E+03
    2    6.666667E-04    9.642764E-02    3.354799E+02
    3    6.666667E-04    9.642764E-02    5.835696E+01
    4    6.666667E-04    9.642764E-02    9.919019E+00
    1    8.333333E-04    9.672786E-02    1.728445E+03
    2    8.333333E-04    9.672786E-02    3.352570E+02
    3    8.333333E-04    9.672786E-02    5.831819E+01
    4    8.333333E-04    9.672786E-02    9.912429E+00
    1    1.000000E-03    9.702854E-02    1.727295E+03
    2    1.000000E-03    9.702854E-02    3.350338E+02
    3    1.000000E-03    9.702854E-02    5.827937E+01
    4    1.000000E-03    9.702854E-02    9.905830E+00
    1    1.166667E-03    9.732969E-02    1.726143E+03
    2    1.166667E-03    9.732969E-02    3.348104E+02
    3    1.166667E-03    9.732969E-02    5.824050E+01
    4    1.166667E-03    9.732969E-02    9.899224E+00
    1    1.333333E-03    9.763130E-02    1.724989E+03
    2    1.333333E-03    9.763130E-02    3.345867E+02
    3    1.333333E-03    9.763130E-02    5.820159E+01
    4    1.333333E-03    9.763130E-02    9.892610E+00
    1    1.500000E-03    9.793339E-02    1.723834E+03
    2    1.500000E-03    9.793339E-02    3.343627E+02
    3    1.500000E-03    9.793339E-02    5.816263E+01
    4    1.500000E-03    9.793339E-02    9.885987E+00
    1    1.666667E-03    9.823593E-02    1.722678E+03
    2    1.666667E-03    9.823593E-02    3.341385E+02
    3    1.666667E-03    9.823593E-02    5.812362E+01
    4    1.666667E-03    9.823593E-02    9.879357E+00
    1    1.833333E-03    9.853895E-02    1.721521E+03
    2    1.833333E-03    9.853895E-02    3.339139E+02
    3    1.833333E-03    9.853895E-02    5.808456E+01
    4    1.833333E-03    9.853895E-02    9.872719E+00
    1    2.000000E-03    9.884243E-02    1.720362E+03
    2    2.000000E-03    9.884243E-02    3.336891E+02
    3    2.000000E-03    9.884243E-02    5.804546E+01
    4    2.000000E-03    9.884243E-02    9.866073E+00
    1    2.166667E-03    9.914638E-02    1.719202E+03
    2    2.166667E-03    9.914638E-02    3.334641E+02
    3    2.166667E-03    9.914638E-02    5.800631E+01
    4    2.166667E-03    9.914638E-02    9.859418E+00
    1    2.333333E-03    9.945080E-02    1.718040E+03
    2    2.333333E-03    9.945080E-02    3.332388E+02
    3    2.333333E-03    9.945080E-02    5.796712E+01
    4    2.333333E-03    9.945080E-02    9.852756E+00
    1    2.500000E-03    9.975568E-02    1.716877E+03
    2    2.500000E-03    9.975568E-02    3.330132E+02
    3    2.500000E-03    9.975568E-02    5.792787E+01
    4    2.500000E-03    9.975568E-02    9.846086E+00
    1    2.666667E-03    1.000610E-01    1.715712E+03
    2    2.666667E-03    1.000610E-01    3.327873E+02
