# EEE =   0.990000   n_T = 800   NE_HI = 30
# T_keV                w_T[ev/(kg dia)]        n_F   p_F                     lambda_creados
  2.000000000000E-01    3.36652033602598E-01       1    3.66662070403281E-01    4.50012552699932E-01
  2.041301627034E-01    6.59207234480098E-01       1    4.18348664803150E-01    4.80503897611051E-01
  2.082603254068E-01    6.45528540840414E-01       1    4.65640862757360E-01    5.12054837713083E-01
  2.123904881101E-01    6.32251778749304E-01       1    5.12943861471576E-01    5.44646055261204E-01
  2.165206508135E-01    6.19360919076660E-01       1    5.60235709110072E-01    5.78244821760684E-01
  2.206508135169E-01    6.06836448707633E-01       1    6.07531296877595E-01    6.12834089064489E-01
  2.247809762203E-01    5.94666286506407E-01       1    6.54830555462784E-01    6.48389113675632E-01
  2.289111389237E-01    5.82833499665705E-01       1    7.02122753416994E-01    6.84875661578569E-01
  2.330413016270E-01    5.71322878390679E-01       1    7.32015490012721E-01    7.22274485375037E-01
  2.371714643304E-01    5.60122505299597E-01       1    7.54553708963785E-01    7.60542599928964E-01
  2.413016270338E-01    5.49225193940230E-01       1    7.77092161474913E-01    7.99654494030459E-01
  2.454317897372E-01    5.38612849341413E-01       1    7.99636071265603E-01    8.39584291141397E-01
  2.495619524406E-01    5.28278937366966E-01       1    8.22174523776731E-01    8.80286765834129E-01
  2.536921151439E-01    5.18212397727964E-01       1    8.44717795697084E-01    9.21737451924699E-01
  2.578222778473E-01    5.08401967215735E-01       1    8.60697725881720E-01    9.63892338733465E-01
  2.619524405507E-01    4.98841656031165E-01       1    8.56011573905181E-01    1.00672225841713E+00
  2.660826032541E-01    4.89519319994636E-01       1    8.51207356025175E-01    1.05020014881979E+00
  2.702127659574E-01    4.80429160690918E-01       1    8.46404300824595E-01    1.09427884757880E+00
  2.743429286608E-01    4.71562477229443E-01       1    8.41601245624016E-01    1.13893074156916E+00
  2.784730913642E-01    4.62909535977131E-01       1    8.36797027744010E-01    1.18412139309885E+00
  2.826032540676E-01    4.54468719420773E-01       1    8.31993972543430E-01    1.22981033925185E+00
  2.867334167710E-01    4.46227395838926E-01       2    8.28096155175159E-01    1.27597448505374E+00
  2.908635794743E-01    4.38180555237935E-01       2    8.24471857795587E-01    1.32257876092733E+00
  2.949937421777E-01    4.30325319086323E-01       2    8.20848026003968E-01    1.36958762808140E+00
  2.991239048811E-01    4.22651618564740E-01       2    8.17223316563681E-01    1.41697688930224E+00
  3.032540675845E-01    4.15154086704794E-01       2    8.13599484772062E-01    1.46469990800402E+00
  3.073842302879E-01    4.07828897936340E-01       2    8.09975138379198E-01    1.51274377883567E+00
  3.115143929912E-01    4.00671523443073E-01       2    8.08845694444611E-01    1.56107529453838E+00
  3.156445556946E-01    3.93674882137700E-01       2    8.13527947601967E-01    1.60966511025458E+00
  3.197747183980E-01    3.86834339395525E-01       2    8.18210800288638E-01    1.65849650364482E+00
  3.239048811014E-01    3.80145418858588E-01       2    8.22893406607028E-01    1.70752263247436E+00
  3.280350438048E-01    3.73603796182490E-01       2    8.27575772161374E-01    1.75672981485463E+00
  3.321652065081E-01    3.67205293073594E-01       2    8.32258865612090E-01    1.80610411822769E+00
  3.362953692115E-01    3.60946779015752E-01       2    8.36877612231455E-01    1.85561018117888E+00
  3.404255319149E-01    3.54823389799720E-01       2    8.39232720217132E-01    1.90523449014385E+00
  3.445556946183E-01    3.48831121698671E-01       2    8.41043675495771E-01    1.95495888107942E+00
  3.486858573217E-01    3.42966343733107E-01       2    8.42854268313861E-01    2.00474251302920E+00
  3.528160200250E-01    3.37225544167198E-01       2    8.44665942485352E-01    2.05459072933680E+00
  3.569461827284E-01    3.31605326032576E-01       2    8.46476358381162E-01    2.10447335532312E+00
  3.610763454318E-01    3.26102402848621E-01       3    8.48287484908939E-01    2.15437996099566E+00
  3.652065081352E-01    3.20713594529193E-01       3    8.49685264156238E-01    2.20430080984802E+00
  3.693366708385E-01    3.15435823466332E-01       3    8.50364625886596E-01    2.25420436886168E+00
  3.734668335419E-01    3.10266388597671E-01       3    8.51043352975419E-01    2.30408354411452E+00
  3.775969962453E-01    3.05202992140755E-01       3    8.51722514077320E-01    2.35392617766805E+00
  3.817271589487E-01    3.00242132292085E-01       3    8.52401469683995E-01    2.40372137790579E+00
  3.858573216521E-01    2.95381094171839E-01       3    8.53080402268044E-01    2.45346458461717E+00
  3.899874843554E-01    2.90617248690438E-01       3    8.53753302555228E-01    2.50313414608000E+00
  3.941176470588E-01    2.85948049497964E-01       3    8.53971058260625E-01    2.55271601282997E+00
  3.982478097622E-01    2.81371030058869E-01       3    8.54129188890419E-01    2.60221229211262E+00
  4.023779724656E-01    2.76883841900885E-01       3    8.54286281242702E-01    2.65160696428964E+00
  4.065081351690E-01    2.72486278929387E-01       3    8.54444386846417E-01    2.70089894124897E+00
  4.106382978723E-01    2.68174030865666E-01       3    8.54602504224779E-01    2.75008073973210E+00
  4.147684605757E-01    2.63944915489699E-01       3    8.54760596577061E-01    2.79914022765845E+00
  4.188986232791E-01    2.59796817835363E-01       3    8.55148873087258E-01    2.84806786464945E+00
  4.230287859825E-01    2.55729156519050E-01       3    8.55843350206213E-01    2.89686008553897E+00
  4.271589486859E-01    2.51739720209786E-01       3    8.56537905182436E-01    2.94551865943965E+00
  4.312891113892E-01    2.47825382496709E-01       3    8.57232472591765E-01    2.99403662407074E+00
  4.354192740926E-01    2.43984269029680E-01       4    8.57926840159051E-01    3.04240750972489E+00
  4.395494367960E-01    2.40217436481774E-01       4    8.58620583756371E-01    3.09062885373026E+00
  4.436795994994E-01    2.36520405158634E-01       4    8.59333225471518E-01    3.13868675515905E+00
  4.478097622028E-01    2.32891328386459E-01       4    8.60470479367151E-01    3.18658882404467E+00
  4.519399249061E-01    2.29331274120219E-01       4    8.61643743513979E-01    3.23433726160628E+00
  4.560700876095E-01    2.25836411970751E-01       4    8.62816917537900E-01    3.28191989372790E+00
  4.602002503129E-01    2.22404825222501E-01       4    8.63989558228565E-01    3.32933986937731E+00
  4.643304130163E-01    2.19038087460604E-01       4    8.65163355708648E-01    3.37659134826089E+00
  4.684605757196E-01    2.15731459443169E-01       4    8.66336629186175E-01    3.42366921498463E+00
  4.725907384230E-01    2.12485200055757E-01       4    8.67023839011854E-01    3.47058357442503E+00
  4.767209011264E-01    2.09298065170986E-01       4    8.67213985219049E-01    3.51732521525752E+00
  4.808510638298E-01    2.06167135560541E-01       4    8.67404297566935E-01    3.56389700003076E+00
  4.849812265332E-01    2.03094151438560E-01       4    8.67595313331685E-01    3.61030143666170E+00
  4.891113892365E-01    2.00074449839672E-01       4    8.67785469636944E-01    3.65652255674623E+00
  4.932415519399E-01    1.97109883099597E-01       4    8.67975644993143E-01    3.70257493656157E+00
  4.973717146433E-01    1.94196771473165E-01       4    8.68192937146313E-01    3.74845533964804E+00
  5.015018773467E-01    1.91335896282411E-01       4    8.68628829207220E-01    3.79416347583371E+00
  5.056320400501E-01    1.88524681587147E-01       4    8.69085171871538E-01    3.83970359102608E+00
  5.097622027534E-01    1.85763274067333E-01       4    8.69540687384350E-01    3.88506665740055E+00
  5.138923654568E-01    1.83049495552313E-01       5    8.69996955710188E-01    3.93025447743482E+00
  5.180225281602E-01    1.80383523567218E-01       5    8.70452828457821E-01    3.97527604769821E+00
  5.221526908636E-01    1.77762940610933E-01       5    8.70908343970633E-01    4.02012580281377E+00
  5.262828535670E-01    1.75188554315379E-01       5    8.71200734554557E-01    4.06481060534503E+00
  5.304130162703E-01    1.72657134960790E-01       5    8.71363649984559E-01    4.10932504216835E+00
  5.345431789737E-01    1.70170657872881E-01       5    8.71526434983237E-01    4.15366739208428E+00
  5.386733416771E-01    1.67725274149473E-01       5    8.71689213135524E-01    4.19784556218131E+00
  5.428035043805E-01    1.65322488574071E-01       5    8.71852435235603E-01    4.24185674850242E+00
  5.469336670839E-01    1.62959905333084E-01       5    8.72015363901354E-01    4.28570625392491E+00
  5.510638297872E-01    1.60637045335562E-01       5    8.72224362952837E-01    4.32939471299404E+00
  5.551939924906E-01    1.58353976745160E-01       5    8.72888786216879E-01    4.37292014180255E+00
  5.593241551940E-01    1.56108193848738E-01       5    8.73553339583166E-01    4.41628229976236E+00
  5.634543178974E-01    1.53900960868945E-01       5    8.74218426537102E-01    4.45948505187953E+00
  5.675844806008E-01    1.51730118587167E-01       5    8.74883216637851E-01    4.50253131505401E+00
  5.717146433041E-01    1.49594634321273E-01       5    8.75547800530739E-01    4.54542441454975E+00
  5.758448060075E-01    1.47495793447291E-01       5    8.76212326874759E-01    4.58816188188730E+00
  5.799749687109E-01    1.45430815856455E-01       5    8.76295015018773E-01    4.63074416207149E+00
  5.841051314143E-01    1.43399413904389E-01       5    8.76027757700372E-01    4.67317459932626E+00
  5.882352941176E-01    1.41402338972727E-01       5    8.75760565317036E-01    4.71545362806198E+00
  5.923654568210E-01    1.39437259485579E-01       5    8.75493307998635E-01    4.75758671530860E+00
  5.964956195244E-01    1.37503640681672E-01       5    8.75226115615298E-01    4.79957227392706E+00
  6.006257822278E-01    1.35602621762968E-01       6    8.74957966145310E-01    4.84141223346289E+00
  6.047559449312E-01    1.33731842933502E-01       6    8.74853600737251E-01    4.88310746442976E+00
  6.088861076345E-01    1.31890769776880E-01       6    8.75487332784402E-01    4.92465765853350E+00
  6.130162703379E-01    1.30079812306797E-01       6    8.76138544766115E-01    4.96606843077791E+00
  6.171464330413E-01    1.28298081774508E-01       6    8.76790752585469E-01    5.00734102683569E+00
  6.212765957447E-01    1.26544438195343E-01       6    8.77442883538634E-01    5.04847529512171E+00
