# EEE =   0.328000   n_T = 800   NE_HI = 30
# T_keV                w_T[ev/(kg dia)]        n_F   p_F                     lambda_creados
  2.000000000000E-01    1.22358060566012E+00       0    2.00000000000000E-02    0.00000000000000E+00
  2.072590738423E-01    2.26498423255554E+00       0    2.00000000000000E-02    0.00000000000000E+00
  2.145181476846E-01    2.09830950182326E+00       1    4.92942476264171E-01    5.59960893406103E-01
  2.217772215269E-01    1.94563756924485E+00       1    5.07829153632824E-01    6.04497462064097E-01
  2.290362953692E-01    1.80559024986114E+00       1    5.21238359985575E-01    6.50344437310519E-01
  2.362953692115E-01    1.67697089979759E+00       1    5.30611089850962E-01    6.97417284272641E-01
  2.435544430538E-01    1.55871154254548E+00       1    5.30351877221569E-01    7.45663133599129E-01
  2.508135168961E-01    1.44983882711118E+00       1    5.37916759618167E-01    7.95004782303263E-01
  2.580725907384E-01    1.34951317120700E+00       2    5.44042743321561E-01    8.45380048558760E-01
  2.653316645807E-01    1.25696342886817E+00       2    5.45017455424414E-01    8.96732644113730E-01
  2.725907384230E-01    1.17149733790129E+00       2    5.51122618364481E-01    9.48981801274035E-01
  2.798498122653E-01    1.09249732796111E+00       2    5.48650579523116E-01    1.00209411114939E+00
  2.871088861076E-01    1.01941527161742E+00       2    5.46709680334915E-01    1.05598044796465E+00
  2.943679599499E-01    9.51733169569792E-01       2    5.48944815587427E-01    1.11062203078394E+00
  3.016270337922E-01    8.89009983083264E-01       2    5.56419544772375E-01    1.16592570130299E+00
  3.088861076345E-01    8.30824717484070E-01       2    5.49177302202329E-01    1.22188427124939E+00
  3.161451814768E-01    7.76809673893105E-01       2    5.56319132256985E-01    1.27840808484960E+00
  3.234042553191E-01    7.26629094736085E-01       2    5.62604512736397E-01    1.33548865406118E+00
  3.306633291615E-01    6.79976355230332E-01       2    5.57252774799828E-01    1.39305798245285E+00
  3.379224030038E-01    6.36571394331658E-01       3    5.51403381863724E-01    1.45108410539319E+00
  3.451814768461E-01    5.96158365758736E-01       3    5.55966847644188E-01    1.50953349883841E+00
  3.524405506884E-01    5.58503491258230E-01       3    5.59600028953989E-01    1.56835751832840E+00
  3.596996245307E-01    5.23404862373285E-01       3    5.56645213960691E-01    1.62753925169473E+00
  3.669586983730E-01    4.90658230693187E-01       3    5.63655919890120E-01    1.68702300496235E+00
  3.742177722153E-01    4.60097451959565E-01       3    5.64680097022125E-01    1.74681029244926E+00
  3.814768460576E-01    4.31554546378863E-01       3    5.66348323350647E-01    1.80683267733463E+00
  3.887359198999E-01    4.04882271422299E-01       3    5.65682760858732E-01    1.86711204630997E+00
  3.959949937422E-01    3.79945679086246E-01       3    5.68738101187926E-01    1.92756988847948E+00
  4.032540675845E-01    3.56620337560598E-01       3    5.69014915841939E-01    1.98823247443157E+00
  4.105131414268E-01    3.34791487518686E-01       4    5.66132216120286E-01    2.04904222490787E+00
  4.177722152691E-01    3.14353265039637E-01       4    5.65568236466797E-01    2.11000134137021E+00
  4.250312891114E-01    2.95207986193961E-01       4    5.63939384190421E-01    2.17108057284903E+00
  4.322903629537E-01    2.77268280704474E-01       4    5.66978741638913E-01    2.23226572978712E+00
  4.395494367960E-01    2.60450935635390E-01       4    5.67981151278081E-01    2.29354256445873E+00
  4.468085106383E-01    2.44677485303752E-01       4    5.71506457832542E-01    2.35488657150893E+00
  4.540675844806E-01    2.29881836669746E-01       4    5.79271479032796E-01    2.41630384968085E+00
  4.613266583229E-01    2.15995021473308E-01       4    5.75800012266265E-01    2.47774828758744E+00
  4.685857321652E-01    2.02958265027293E-01       4    5.77731256706006E-01    2.53925169860386E+00
  4.758448060075E-01    1.90717278642374E-01       5    5.76064361312658E-01    2.60075279139374E+00
  4.831038798498E-01    1.79218353548126E-01       5    5.71958201749561E-01    2.66229061158300E+00
  4.903629536921E-01    1.68414031885618E-01       5    5.78360773872288E-01    2.72381311645113E+00
  4.976220275344E-01    1.58260100138829E-01       5    5.80178264817213E-01    2.78534447977428E+00
  5.048811013767E-01    1.48715357548114E-01       5    5.80713559068880E-01    2.84685405477147E+00
  5.121401752190E-01    1.39741401186708E-01       5    5.84181629549221E-01    2.90835075392077E+00
  5.193992490613E-01    1.31302426538958E-01       5    5.81452068993021E-01    2.96981530138392E+00
  5.266583229036E-01    1.23365042493939E-01       5    5.77948346509467E-01    3.03124703650233E+00
  5.339173967459E-01    1.15898099738778E-01       5    5.82883664974305E-01    3.09264465799536E+00
  5.411764705882E-01    1.08872531602759E-01       5    5.80569200291028E-01    3.15398718256412E+00
  5.484355444305E-01    1.02263264534179E-01       5    5.86161875363520E-01    3.21529467008944E+00
