# N_e   R_bin_Fnest[ev/(kg dia)]   R_bin_F1[ev/(kg dia)]
   1    1.03034201E+01    7.93836423E+00
   2    6.79036738E+00    6.20394487E+00
   3    5.04122578E+00    4.67633978E+00
   4    3.93020818E+00    3.60308687E+00
   5    3.10504968E+00    2.81558637E+00
   6    2.37686236E+00    2.20560763E+00
   7    1.77535833E+00    1.72154512E+00
   8    1.35537729E+00    1.33557473E+00
   9    1.00400382E+00    1.02904537E+00
  10    7.31793106E-01    7.87353650E-01
  11    5.23518437E-01    5.98291377E-01
  12    3.80717991E-01    4.51532737E-01
  13    2.73606529E-01    3.38433109E-01
  14    1.89596242E-01    2.51870332E-01
  15    1.27643265E-01    1.86065089E-01
  16    8.63489249E-02    1.36384998E-01
  17    5.64845437E-02    9.91512238E-02
  18    3.52272391E-02    7.14624081E-02
  19    2.14099041E-02    5.10431927E-02
  20    1.32046685E-02    3.61186290E-02
  21    7.99692299E-03    2.53122223E-02
  22    4.67524625E-03    1.75639018E-02
  23    2.53391115E-03    1.20640533E-02
  24    1.26415212E-03    8.20027730E-03
  25    4.96529171E-04    5.51427613E-03
  26    1.14063777E-04    3.66695843E-03
  27    0.00000000E+00    2.41035082E-03
  28    0.00000000E+00    1.56522664E-03
  29    0.00000000E+00    1.00353891E-03
  30    0.00000000E+00    6.34845770E-04
