# N_e   R_bin_Fnest[ev/(kg dia)]   R_bin_F1[ev/(kg dia)]
   1    8.95630749E+00    8.07502719E+00
   2    1.78232303E+00    2.03799041E+00
   3    3.12763038E-01    4.68859176E-01
   4    5.41615488E-02    1.05831032E-01
   5    8.57949623E-03    2.34507498E-02
   6    1.23397777E-03    5.04786747E-03
   7    1.62462954E-04    1.04917378E-03
   8    1.96460512E-05    2.10173329E-04
   9    2.19788153E-06    4.05957108E-05
  10    2.29229752E-07    7.57168556E-06
  11    2.22208829E-08    1.36623011E-06
  12    1.96776672E-09    2.38939224E-07
  13    1.54935540E-10    4.05691190E-08
  14    1.04843829E-11    6.69570001E-09
  15    5.89001062E-13    1.07509108E-09
  16    2.65323512E-14    1.68001762E-10
  17    9.20284483E-16    2.55514270E-11
  18    2.31578691E-17    3.78136593E-12
  19    3.80244672E-19    5.44310513E-13
  20    3.06905482E-21    7.61757195E-14
  21    0.00000000E+00    1.03603391E-14
  22    0.00000000E+00    1.36888101E-15
  23    0.00000000E+00    1.75663850E-16
  24    0.00000000E+00    2.18908998E-17
  25    0.00000000E+00    2.64909371E-18
  26    0.00000000E+00    3.11326438E-19
  27    0.00000000E+00    3.55378339E-20
  28    0.00000000E+00    3.94117703E-21
  29    0.00000000E+00    4.24767195E-22
  30    0.00000000E+00    4.45057896E-23
