# T_nr[keV]   Tasa_Kop   Tasa_Mue   Tasa_Comb
    0.2000   1.551304E+02   1.630162E+02   1.630212E+02
    0.2196   1.400823E+02   1.476627E+02   1.476627E+02
    0.2393   1.270139E+02   1.342626E+02   1.342626E+02
    0.2589   1.155820E+02   1.224752E+02   1.224752E+02
    0.2786   1.055131E+02   1.120383E+02   1.120383E+02
    0.2982   9.659045E+01   1.027461E+02   1.027461E+02
    0.3178   8.864103E+01   9.443351E+01   9.443351E+01
    0.3375   8.152198E+01   8.696611E+01   8.696611E+01
    0.3571   7.511707E+01   8.023402E+01   8.023402E+01
    0.3768   6.933414E+01   7.414463E+01   7.414463E+01
    0.3964   6.409659E+01   6.862075E+01   6.862075E+01
    0.4160   5.933899E+01   6.359727E+01   6.359727E+01
    0.4357   5.500592E+01   5.901775E+01   5.901775E+01
    0.4553   5.105149E+01   5.483408E+01   5.483408E+01
    0.4749   4.743555E+01   5.100467E+01   5.100467E+01
    0.4946   4.412250E+01   4.749300E+01   4.749300E+01
    0.5142   4.108184E+01   4.426729E+01   4.426729E+01
    0.5339   3.828711E+01   4.129954E+01   4.129954E+01
    0.5535   3.571517E+01   3.856555E+01   3.856555E+01
    0.5731   3.334437E+01   3.604296E+01   3.604296E+01
    0.5928   3.115627E+01   3.371265E+01   3.371265E+01
    0.6124   2.913461E+01   3.155744E+01   3.155744E+01
    0.6321   2.726459E+01   2.956178E+01   2.956178E+01
    0.6517   2.553264E+01   2.771168E+01   2.771168E+01
    0.6713   2.392689E+01   2.599502E+01   2.599502E+01
    0.6910   2.243665E+01   2.440031E+01   2.440031E+01
    0.7106   2.105289E+01   2.291761E+01   2.291761E+01
    0.7303   1.976724E+01   2.153785E+01   2.153785E+01
    0.7499   1.857195E+01   2.025273E+01   2.025273E+01
    0.7695   1.745982E+01   1.905470E+01   1.905470E+01
    0.7892   1.642418E+01   1.793687E+01   1.793687E+01
    0.8088   1.545917E+01   1.689330E+01   1.689330E+01
    0.8285   1.455887E+01   1.591804E+01   1.591804E+01
    0.8481   1.371822E+01   1.500616E+01   1.500616E+01
    0.8677   1.293230E+01   1.415289E+01   1.415289E+01
    0.8874   1.219688E+01   1.335387E+01   1.335387E+01
    0.9070   1.150846E+01   1.260517E+01   1.260517E+01
    0.9267   1.086379E+01   1.190317E+01   1.190317E+01
    0.9463   1.025989E+01   1.124459E+01   1.124459E+01
    0.9659   9.693901E+00   1.062637E+01   1.062637E+01
    0.9856   9.163063E+00   1.004561E+01   1.004561E+01
    1.0052   8.665000E+00   9.499867E+00   9.499867E+00
    1.0248   8.197206E+00   8.986591E+00   8.986591E+00
    1.0445   7.757635E+00   8.503771E+00   8.503771E+00
    1.0641   7.344065E+00   8.049234E+00   8.049234E+00
    1.0838   6.954552E+00   7.621133E+00   7.621133E+00
    1.1034   6.587288E+00   7.217747E+00   7.217747E+00
    1.1230   6.240847E+00   6.837477E+00   6.837477E+00
    1.1427   5.914007E+00   6.478836E+00   6.478836E+00
    1.1623   5.605608E+00   6.140440E+00   6.140440E+00
