# T_nr[keV]   Tasa_Kop   Tasa_Mue   Tasa_Comb
    0.2100   2.790285E+02   3.034265E+02   3.034265E+02
    0.2296   2.269614E+02   2.475424E+02   2.475424E+02
    0.2492   1.858401E+02   2.031348E+02   2.031348E+02
    0.2689   1.530510E+02   1.675525E+02   1.675525E+02
    0.2885   1.266686E+02   1.388271E+02   1.388271E+02
    0.3081   1.053331E+02   1.154810E+02   1.154810E+02
    0.3277   8.795512E+01   9.639128E+01   9.639128E+01
    0.3473   7.365955E+01   8.069535E+01   8.069535E+01
    0.3670   6.184342E+01   6.772637E+01   6.772637E+01
    0.3866   5.204967E+01   5.696155E+01   5.696155E+01
    0.4062   4.389250E+01   4.799017E+01   4.799017E+01
    0.4258   3.705171E+01   4.048689E+01   4.048689E+01
    0.4454   3.130111E+01   3.419094E+01   3.419094E+01
    0.4651   2.646446E+01   2.889371E+01   2.889371E+01
    0.4847   2.238754E+01   2.442571E+01   2.442571E+01
    0.5043   1.893666E+01   2.064977E+01   2.064977E+01
    0.5239   1.600807E+01   1.745313E+01   1.745313E+01
    0.5435   1.352568E+01   1.474363E+01   1.474363E+01
    0.5631   1.142234E+01   1.244488E+01   1.244488E+01
    0.5828   9.637930E+00   1.049318E+01   1.049318E+01
    0.6024   8.119830E+00   8.835885E+00   8.835885E+00
    0.6220   6.828278E+00   7.428606E+00   7.428606E+00
    0.6416   5.732240E+00   6.234071E+00   6.234071E+00
    0.6612   4.803758E+00   5.220854E+00   5.220854E+00
    0.6809   4.017472E+00   4.362309E+00   4.362309E+00
    0.7005   3.350445E+00   3.635784E+00   3.635784E+00
    0.7201   2.784742E+00   3.021987E+00   3.021987E+00
    0.7397   2.307197E+00   2.504473E+00   2.504473E+00
    0.7593   1.905858E+00   2.069106E+00   2.069106E+00
    0.7790   1.569730E+00   1.703732E+00   1.703732E+00
    0.7986   1.288802E+00   1.398011E+00   1.398011E+00
    0.8182   1.054019E+00   1.142965E+00   1.142965E+00
    0.8378   8.587009E-01   9.309148E-01   9.309148E-01
    0.8574   6.973200E-01   7.552464E-01   7.552464E-01
    0.8771   5.647816E-01   6.102991E-01   6.102991E-01
    0.8967   4.563156E-01   4.911652E-01   4.911652E-01
    0.9163   3.675278E-01   3.936730E-01   3.936730E-01
    0.9359   2.944727E-01   3.142496E-01   3.142496E-01
    0.9555   2.345770E-01   2.498418E-01   2.498418E-01
    0.9752   1.859483E-01   1.978518E-01   1.978518E-01
    0.9948   1.468381E-01   1.560970E-01   1.560970E-01
    1.0144   1.155879E-01   1.227132E-01   1.227132E-01
    1.0340   9.066189E-02   9.615311E-02   9.615311E-02
    1.0536   7.062189E-02   7.512180E-02   7.512180E-02
    1.0732   5.439434E-02   5.854311E-02   5.854311E-02
    1.0929   4.141034E-02   4.552889E-02   4.552889E-02
    1.1125   3.117360E-02   3.535138E-02   3.535138E-02
    1.1321   2.322041E-02   2.742175E-02   2.742175E-02
    1.1517   1.710894E-02   2.125961E-02   2.125961E-02
    1.1713   1.242741E-02   1.648382E-02   1.648382E-02
    1.1910   8.786866E-03   1.278718E-02   1.278718E-02
    1.2106   5.934993E-03   9.928080E-03   9.928080E-03
    1.2302   3.764492E-03   7.716595E-03   7.716595E-03
    1.2498   2.181211E-03   6.004527E-03   6.004527E-03
    1.2694   1.096123E-03   4.677062E-03   4.677062E-03
    1.2891   4.237992E-04   3.644960E-03   3.644960E-03
    1.3087   8.435719E-05   2.840480E-03   2.840480E-03
    1.3283   0.000000E+00   2.211220E-03   2.211220E-03
    1.3479   0.000000E+00   1.717681E-03   1.717681E-03
    1.3675   0.000000E+00   1.329399E-03   1.329399E-03
    1.3872   0.000000E+00   1.023273E-03   1.023273E-03
    1.4068   0.000000E+00   7.816531E-04   7.816531E-04
    1.4264   0.000000E+00   5.909868E-04   5.909868E-04
    1.4460   0.000000E+00   4.408160E-04   4.408160E-04
    1.4656   0.000000E+00   3.230542E-04   3.230542E-04
    1.4853   0.000000E+00   2.313144E-04   2.313144E-04
    1.5049   0.000000E+00   1.605764E-04   1.605764E-04
    1.5245   0.000000E+00   1.068863E-04   1.068863E-04
    1.5441   0.000000E+00   6.701949E-05   6.701949E-05
    1.5637   0.000000E+00   3.840963E-05   3.840963E-05
    1.5833   0.000000E+00   1.897741E-05   1.897741E-05
    1.6030   0.000000E+00   7.010686E-06   7.010686E-06
    1.6226   0.000000E+00   1.123637E-06   1.123637E-06
    1.6422   0.000000E+00   0.000000E+00   0.000000E+00
    1.6618   0.000000E+00   0.000000E+00   0.000000E+00
    1.6814   0.000000E+00   0.000000E+00   0.000000E+00
    1.7011   0.000000E+00   0.000000E+00   0.000000E+00
    1.7207   0.000000E+00   0.000000E+00   0.000000E+00
    1.7403   0.000000E+00   0.000000E+00   0.000000E+00
    1.7599   0.000000E+00   0.000000E+00   0.000000E+00
    1.7795   0.000000E+00   0.000000E+00   0.000000E+00
    1.7992   0.000000E+00   0.000000E+00   0.000000E+00
    1.8188   0.000000E+00   0.000000E+00   0.000000E+00
    1.8384   0.000000E+00   0.000000E+00   0.000000E+00
    1.8580   0.000000E+00   0.000000E+00   0.000000E+00
    1.8776   0.000000E+00   0.000000E+00   0.000000E+00
    1.8973   0.000000E+00   0.000000E+00   0.000000E+00
    1.9169   0.000000E+00   0.000000E+00   0.000000E+00
    1.9365   0.000000E+00   0.000000E+00   0.000000E+00
    1.9561   0.000000E+00   0.000000E+00   0.000000E+00
    1.9757   0.000000E+00   0.000000E+00   0.000000E+00
    1.9954   0.000000E+00   0.000000E+00   0.000000E+00
    2.0150   0.000000E+00   0.000000E+00   0.000000E+00
    2.0346   0.000000E+00   0.000000E+00   0.000000E+00
    2.0542   0.000000E+00   0.000000E+00   0.000000E+00
    2.0738   0.000000E+00   0.000000E+00   0.000000E+00
    2.0934   0.000000E+00   0.000000E+00   0.000000E+00
    2.1131   0.000000E+00   0.000000E+00   0.000000E+00
    2.1327   0.000000E+00   0.000000E+00   0.000000E+00
    2.1523   0.000000E+00   0.000000E+00   0.000000E+00
    2.1719   0.000000E+00   0.000000E+00   0.000000E+00
    2.1915   0.000000E+00   0.000000E+00   0.000000E+00
    2.2112   0.000000E+00   0.000000E+00   0.000000E+00
    2.2308   0.000000E+00   0.000000E+00   0.000000E+00
    2.2504   0.000000E+00   0.000000E+00   0.000000E+00
    2.2700   0.000000E+00   0.000000E+00   0.000000E+00
    2.2896   0.000000E+00   0.000000E+00   0.000000E+00
    2.3093   0.000000E+00   0.000000E+00   0.000000E+00
    2.3289   0.000000E+00   0.000000E+00   0.000000E+00
    2.3485   0.000000E+00   0.000000E+00   0.000000E+00
    2.3681   0.000000E+00   0.000000E+00   0.000000E+00
    2.3877   0.000000E+00   0.000000E+00   0.000000E+00
    2.4074   0.000000E+00   0.000000E+00   0.000000E+00
    2.4270   0.000000E+00   0.000000E+00   0.000000E+00
    2.4466   0.000000E+00   0.000000E+00   0.000000E+00
    2.4662   0.000000E+00   0.000000E+00   0.000000E+00
    2.4858   0.000000E+00   0.000000E+00   0.000000E+00
    2.5055   0.000000E+00   0.000000E+00   0.000000E+00
    2.5251   0.000000E+00   0.000000E+00   0.000000E+00
    2.5447   0.000000E+00   0.000000E+00   0.000000E+00
    2.5643   0.000000E+00   0.000000E+00   0.000000E+00
    2.5839   0.000000E+00   0.000000E+00   0.000000E+00
    2.6035   0.000000E+00   0.000000E+00   0.000000E+00
    2.6232   0.000000E+00   0.000000E+00   0.000000E+00
    2.6428   0.000000E+00   0.000000E+00   0.000000E+00
    2.6624   0.000000E+00   0.000000E+00   0.000000E+00
    2.6820   0.000000E+00   0.000000E+00   0.000000E+00
    2.7016   0.000000E+00   0.000000E+00   0.000000E+00
    2.7213   0.000000E+00   0.000000E+00   0.000000E+00
    2.7409   0.000000E+00   0.000000E+00   0.000000E+00
    2.7605   0.000000E+00   0.000000E+00   0.000000E+00
    2.7801   0.000000E+00   0.000000E+00   0.000000E+00
    2.7997   0.000000E+00   0.000000E+00   0.000000E+00
    2.8194   0.000000E+00   0.000000E+00   0.000000E+00
    2.8390   0.000000E+00   0.000000E+00   0.000000E+00
    2.8586   0.000000E+00   0.000000E+00   0.000000E+00
    2.8782   0.000000E+00   0.000000E+00   0.000000E+00
    2.8978   0.000000E+00   0.000000E+00   0.000000E+00
    2.9175   0.000000E+00   0.000000E+00   0.000000E+00
    2.9371   0.000000E+00   0.000000E+00   0.000000E+00
    2.9567   0.000000E+00   0.000000E+00   0.000000E+00
    2.9763   0.000000E+00   0.000000E+00   0.000000E+00
    2.9959   0.000000E+00   0.000000E+00   0.000000E+00
