# sin2theta_W   A(s)   chi2   dchi2
   0.000000E+00     9.523145E-02     1.751024E+01     0.000000E+00
   1.666667E-04     9.552979E-02     1.751025E+01     1.979429E-06
   3.333333E-04     9.582861E-02     1.751025E+01     3.961985E-06
   5.000000E-04     9.612789E-02     1.751025E+01     5.947668E-06
   6.666667E-04     9.642764E-02     1.751025E+01     7.936478E-06
   8.333333E-04     9.672786E-02     1.751025E+01     9.928416E-06
   1.000000E-03     9.702854E-02     1.751026E+01     1.192348E-05
   1.166667E-03     9.732969E-02     1.751026E+01     1.392167E-05
   1.333333E-03     9.763130E-02     1.751026E+01     1.592299E-05
   1.500000E-03     9.793339E-02     1.751026E+01     1.792744E-05
   1.666667E-03     9.823593E-02     1.751026E+01     1.993502E-05
   1.833333E-03     9.853895E-02     1.751027E+01     2.194572E-05
   2.000000E-03     9.884243E-02     1.751027E+01     2.395955E-05
   2.166667E-03     9.914638E-02     1.751027E+01     2.597651E-05
   2.333333E-03     9.945080E-02     1.751027E+01     2.799660E-05
   2.500000E-03     9.975568E-02     1.751027E+01     3.001982E-05
   2.666667E-03     1.000610E-01     1.751028E+01     3.204616E-05
   2.833333E-03     1.003668E-01     1.751028E+01     3.407564E-05
   3.000000E-03     1.006731E-01     1.751028E+01     3.610824E-05
   3.166667E-03     1.009799E-01     1.751028E+01     3.814398E-05
   3.333333E-03     1.012871E-01     1.751029E+01     4.018284E-05
   3.500000E-03     1.015948E-01     1.751029E+01     4.222483E-05
   3.666667E-03     1.019029E-01     1.751029E+01     4.426995E-05
   3.833333E-03     1.022115E-01     1.751029E+01     4.631820E-05
   4.000000E-03     1.025206E-01     1.751029E+01     4.836959E-05
   4.166667E-03     1.028302E-01     1.751030E+01     5.042410E-05
   4.333333E-03     1.031402E-01     1.751030E+01     5.248174E-05
   4.500000E-03     1.034507E-01     1.751030E+01     5.454251E-05
   4.666667E-03     1.037616E-01     1.751030E+01     5.660642E-05
   4.833333E-03     1.040730E-01     1.751030E+01     5.867345E-05
   5.000000E-03     1.043849E-01     1.751031E+01     6.074362E-05
   5.166667E-03     1.046972E-01     1.751031E+01     6.281691E-05
   5.333333E-03     1.050101E-01     1.751031E+01     6.489334E-05
   5.500000E-03     1.053233E-01     1.751031E+01     6.697290E-05
   5.666667E-03     1.056371E-01     1.751031E+01     6.905559E-05
   5.833333E-03     1.059513E-01     1.751032E+01     7.114141E-05
   6.000000E-03     1.062660E-01     1.751032E+01     7.323037E-05
   6.166667E-03     1.065811E-01     1.751032E+01     7.532245E-05
   6.333333E-03     1.068967E-01     1.751032E+01     7.741767E-05
   6.500000E-03     1.072128E-01     1.751032E+01     7.951602E-05
   6.666667E-03     1.075294E-01     1.751033E+01     8.161750E-05
   6.833333E-03     1.078464E-01     1.751033E+01     8.372212E-05
   7.000000E-03     1.081639E-01     1.751033E+01     8.582987E-05
   7.166667E-03     1.084818E-01     1.751033E+01     8.794075E-05
   7.333333E-03     1.088002E-01     1.751033E+01     9.005476E-05
   7.500000E-03     1.091191E-01     1.751034E+01     9.217191E-05
   7.666667E-03     1.094385E-01     1.751034E+01     9.429219E-05
   7.833333E-03     1.097583E-01     1.751034E+01     9.641560E-05
   8.000000E-03     1.100785E-01     1.751034E+01     9.854215E-05
   8.166667E-03     1.103993E-01     1.751035E+01     1.006718E-04
   8.333333E-03     1.107205E-01     1.751035E+01     1.028046E-04
   8.500000E-03     1.110422E-01     1.751035E+01     1.049406E-04
   8.666667E-03     1.113643E-01     1.751035E+01     1.070797E-04
   8.833333E-03     1.116869E-01     1.751035E+01     1.092219E-04
   9.000000E-03     1.120100E-01     1.751036E+01     1.113673E-04
   9.166667E-03     1.123336E-01     1.751036E+01     1.135157E-04
   9.333333E-03     1.126576E-01     1.751036E+01     1.156674E-04
   9.500000E-03     1.129821E-01     1.751036E+01     1.178221E-04
   9.666667E-03     1.133070E-01     1.751036E+01     1.199800E-04
   9.833333E-03     1.136324E-01     1.751037E+01     1.221410E-04
   1.000000E-02     1.139583E-01     1.751037E+01     1.243052E-04
   1.016667E-02     1.142847E-01     1.751037E+01     1.264725E-04
   1.033333E-02     1.146115E-01     1.751037E+01     1.286429E-04
   1.050000E-02     1.149387E-01     1.751038E+01     1.308165E-04
   1.066667E-02     1.152665E-01     1.751038E+01     1.329932E-04
   1.083333E-02     1.155947E-01     1.751038E+01     1.351731E-04
   1.100000E-02     1.159234E-01     1.751038E+01     1.373560E-04
   1.116667E-02     1.162525E-01     1.751038E+01     1.395422E-04
   1.133333E-02     1.165821E-01     1.751039E+01     1.417314E-04
   1.150000E-02     1.169122E-01     1.751039E+01     1.439238E-04
   1.166667E-02     1.172428E-01     1.751039E+01     1.461193E-04
   1.183333E-02     1.175738E-01     1.751039E+01     1.483180E-04
   1.200000E-02     1.179053E-01     1.751040E+01     1.505198E-04
   1.216667E-02     1.182372E-01     1.751040E+01     1.527247E-04
   1.233333E-02     1.185696E-01     1.751040E+01     1.549328E-04
   1.250000E-02     1.189025E-01     1.751040E+01     1.571440E-04
   1.266667E-02     1.192358E-01     1.751040E+01     1.593584E-04
   1.283333E-02     1.195696E-01     1.751041E+01     1.615759E-04
   1.300000E-02     1.199039E-01     1.751041E+01     1.637965E-04
   1.316667E-02     1.202387E-01     1.751041E+01     1.660203E-04
   1.333333E-02     1.205739E-01     1.751041E+01     1.682472E-04
   1.350000E-02     1.209096E-01     1.751042E+01     1.704772E-04
   1.366667E-02     1.212457E-01     1.751042E+01     1.727104E-04
   1.383333E-02     1.215823E-01     1.751042E+01     1.749468E-04
   1.400000E-02     1.219194E-01     1.751042E+01     1.771862E-04
   1.416667E-02     1.222569E-01     1.751042E+01     1.794288E-04
   1.433333E-02     1.225950E-01     1.751043E+01     1.816746E-04
   1.450000E-02     1.229334E-01     1.751043E+01     1.839235E-04
   1.466667E-02     1.232724E-01     1.751043E+01     1.861755E-04
   1.483333E-02     1.236118E-01     1.751043E+01     1.884307E-04
   1.500000E-02     1.239517E-01     1.751044E+01     1.906890E-04
   1.516667E-02     1.242920E-01     1.751044E+01     1.929504E-04
   1.533333E-02     1.246328E-01     1.751044E+01     1.952150E-04
   1.550000E-02     1.249741E-01     1.751044E+01     1.974827E-04
   1.566667E-02     1.253158E-01     1.751044E+01     1.997536E-04
   1.583333E-02     1.256581E-01     1.751045E+01     2.020276E-04
   1.600000E-02     1.260007E-01     1.751045E+01     2.043047E-04
   1.616667E-02     1.263439E-01     1.751045E+01     2.065850E-04
   1.633333E-02     1.266875E-01     1.751045E+01     2.088685E-04
   1.650000E-02     1.270316E-01     1.751046E+01     2.111551E-04
   1.666667E-02     1.273761E-01     1.751046E+01     2.134448E-04
   1.683333E-02     1.277211E-01     1.751046E+01     2.157376E-04
   1.700000E-02     1.280666E-01     1.751046E+01     2.180336E-04
   1.716667E-02     1.284125E-01     1.751047E+01     2.203328E-04
