# A   chi2_sinNuisance   chi2_conNuisance
  0.000000E+00    2.101851E+01    2.101851E+01
  3.000300E-02    2.023741E+01    2.023318E+01
  6.000600E-02    1.947929E+01    1.946339E+01
  9.000900E-02    1.874415E+01    1.871060E+01
  1.200120E-01    1.803199E+01    1.797620E+01
  1.500150E-01    1.734281E+01    1.726149E+01
  1.800180E-01    1.667660E+01    1.656770E+01
  2.100210E-01    1.603337E+01    1.589595E+01
  2.400240E-01    1.541312E+01    1.524725E+01
  2.700270E-01    1.481584E+01    1.462252E+01
  3.000300E-01    1.424155E+01    1.402257E+01
  3.300330E-01    1.369023E+01    1.344807E+01
  3.600360E-01    1.316189E+01    1.289962E+01
  3.900390E-01    1.265653E+01    1.237767E+01
  4.200420E-01    1.217414E+01    1.188257E+01
  4.500450E-01    1.171474E+01    1.141458E+01
  4.800480E-01    1.127831E+01    1.097382E+01
  5.100510E-01    1.086486E+01    1.056033E+01
  5.400540E-01    1.047439E+01    1.017404E+01
  5.700570E-01    1.010689E+01    9.814802E+00
  6.000600E-01    9.762375E+00    9.482364E+00
  6.300630E-01    9.440836E+00    9.176399E+00
  6.600660E-01    9.142274E+00    8.896505E+00
  6.900690E-01    8.866691E+00    8.642213E+00
  7.200720E-01    8.614085E+00    8.412988E+00
  7.500750E-01    8.384457E+00    8.208243E+00
  7.800780E-01    8.177807E+00    8.027341E+00
  8.100810E-01    7.994135E+00    7.869604E+00
  8.400840E-01    7.833441E+00    7.734318E+00
  8.700870E-01    7.695725E+00    7.620739E+00
  9.000900E-01    7.580986E+00    7.528098E+00
  9.300930E-01    7.489225E+00    7.455611E+00
  9.600960E-01    7.420443E+00    7.402478E+00
  9.900990E-01    7.374638E+00    7.367892E+00
  1.020102E+00    7.351811E+00    7.351041E+00
  1.050105E+00    7.351961E+00    7.351116E+00
  1.080108E+00    7.375090E+00    7.367309E+00
  1.110111E+00    7.421196E+00    7.398822E+00
  1.140114E+00    7.490281E+00    7.444864E+00
  1.170117E+00    7.582343E+00    7.504660E+00
  1.200120E+00    7.697383E+00    7.577450E+00
  1.230123E+00    7.835401E+00    7.662489E+00
  1.260126E+00    7.996396E+00    7.759053E+00
  1.290129E+00    8.180370E+00    7.866437E+00
  1.320132E+00    8.387321E+00    7.983959E+00
  1.350135E+00    8.617251E+00    8.110958E+00
  1.380138E+00    8.870158E+00    8.246796E+00
  1.410141E+00    9.146043E+00    8.390860E+00
  1.440144E+00    9.444906E+00    8.542558E+00
  1.470147E+00    9.766746E+00    8.701324E+00
  1.500150E+00    1.011156E+01    8.866617E+00
  1.530153E+00    1.047936E+01    9.037916E+00
  1.560156E+00    1.087014E+01    9.214728E+00
  1.590159E+00    1.128389E+01    9.396580E+00
  1.620162E+00    1.172062E+01    9.583023E+00
  1.650165E+00    1.218033E+01    9.773629E+00
  1.680168E+00    1.266301E+01    9.967995E+00
  1.710171E+00    1.316867E+01    1.016574E+01
  1.740174E+00    1.369732E+01    1.036649E+01
  1.770177E+00    1.424894E+01    1.056991E+01
  1.800180E+00    1.482353E+01    1.077567E+01
  1.830183E+00    1.542111E+01    1.098347E+01
  1.860186E+00    1.604166E+01    1.119302E+01
  1.890189E+00    1.668519E+01    1.140404E+01
  1.920192E+00    1.735170E+01    1.161629E+01
  1.950195E+00    1.804119E+01    1.182953E+01
  1.980198E+00    1.875365E+01    1.204352E+01
  2.010201E+00    1.948909E+01    1.225806E+01
  2.040204E+00    2.024751E+01    1.247296E+01
  2.070207E+00    2.102891E+01    1.268803E+01
  2.100210E+00    2.183328E+01    1.290309E+01
  2.130213E+00    2.266064E+01    1.311799E+01
  2.160216E+00    2.351097E+01    1.333259E+01
  2.190219E+00    2.438428E+01    1.354674E+01
  2.220222E+00    2.528057E+01    1.376031E+01
  2.250225E+00    2.619983E+01    1.397319E+01
  2.280228E+00    2.714207E+01    1.418526E+01
  2.310231E+00    2.810729E+01    1.439644E+01
  2.340234E+00    2.909549E+01    1.460661E+01
  2.370237E+00    3.010667E+01    1.481570E+01
  2.400240E+00    3.114082E+01    1.502363E+01
  2.430243E+00    3.219795E+01    1.523032E+01
