# sin2theta_W   A(s)   chi2   dchi2
   0.000000E+00     5.181774E-02     1.967185E+01     1.232284E+01
   1.666667E-04     5.206369E-02     1.966557E+01     1.231656E+01
   3.333333E-04     5.231021E-02     1.965928E+01     1.231027E+01
   5.000000E-04     5.255732E-02     1.965297E+01     1.230396E+01
   6.666667E-04     5.280502E-02     1.964665E+01     1.229764E+01
   8.333333E-04     5.305329E-02     1.964032E+01     1.229130E+01
   1.000000E-03     5.330215E-02     1.963397E+01     1.228495E+01
   1.166667E-03     5.355159E-02     1.962761E+01     1.227859E+01
   1.333333E-03     5.380161E-02     1.962123E+01     1.227222E+01
   1.500000E-03     5.405221E-02     1.961484E+01     1.226583E+01
   1.666667E-03     5.430340E-02     1.960844E+01     1.225942E+01
   1.833333E-03     5.455517E-02     1.960202E+01     1.225301E+01
   2.000000E-03     5.480752E-02     1.959559E+01     1.224658E+01
   2.166667E-03     5.506045E-02     1.958915E+01     1.224013E+01
   2.333333E-03     5.531397E-02     1.958269E+01     1.223368E+01
   2.500000E-03     5.556807E-02     1.957622E+01     1.222720E+01
   2.666667E-03     5.582275E-02     1.956974E+01     1.222072E+01
   2.833333E-03     5.607801E-02     1.956324E+01     1.221422E+01
   3.000000E-03     5.633385E-02     1.955673E+01     1.220771E+01
   3.166667E-03     5.659028E-02     1.955020E+01     1.220118E+01
   3.333333E-03     5.684729E-02     1.954366E+01     1.219464E+01
   3.500000E-03     5.710488E-02     1.953711E+01     1.218809E+01
   3.666667E-03     5.736305E-02     1.953054E+01     1.218153E+01
   3.833333E-03     5.762181E-02     1.952396E+01     1.217495E+01
   4.000000E-03     5.788115E-02     1.951737E+01     1.216835E+01
   4.166667E-03     5.814107E-02     1.951076E+01     1.216174E+01
   4.333333E-03     5.840157E-02     1.950414E+01     1.215512E+01
   4.500000E-03     5.866266E-02     1.949751E+01     1.214849E+01
   4.666667E-03     5.892432E-02     1.949086E+01     1.214184E+01
   4.833333E-03     5.918657E-02     1.948420E+01     1.213518E+01
   5.000000E-03     5.944941E-02     1.947752E+01     1.212851E+01
   5.166667E-03     5.971282E-02     1.947083E+01     1.212182E+01
   5.333333E-03     5.997682E-02     1.946413E+01     1.211512E+01
   5.500000E-03     6.024140E-02     1.945742E+01     1.210840E+01
   5.666667E-03     6.050656E-02     1.945069E+01     1.210167E+01
   5.833333E-03     6.077230E-02     1.944395E+01     1.209493E+01
   6.000000E-03     6.103863E-02     1.943719E+01     1.208818E+01
   6.166667E-03     6.130554E-02     1.943042E+01     1.208141E+01
   6.333333E-03     6.157303E-02     1.942364E+01     1.207463E+01
   6.500000E-03     6.184110E-02     1.941685E+01     1.206783E+01
   6.666667E-03     6.210975E-02     1.941004E+01     1.206102E+01
   6.833333E-03     6.237899E-02     1.940322E+01     1.205420E+01
   7.000000E-03     6.264881E-02     1.939638E+01     1.204736E+01
   7.166667E-03     6.291921E-02     1.938953E+01     1.204051E+01
   7.333333E-03     6.319020E-02     1.938267E+01     1.203365E+01
   7.500000E-03     6.346176E-02     1.937579E+01     1.202678E+01
   7.666667E-03     6.373391E-02     1.936890E+01     1.201989E+01
   7.833333E-03     6.400664E-02     1.936200E+01     1.201298E+01
   8.000000E-03     6.427996E-02     1.935508E+01     1.200607E+01
   8.166667E-03     6.455385E-02     1.934816E+01     1.199914E+01
   8.333333E-03     6.482833E-02     1.934121E+01     1.199220E+01
   8.500000E-03     6.510339E-02     1.933426E+01     1.198524E+01
   8.666667E-03     6.537903E-02     1.932729E+01     1.197827E+01
   8.833333E-03     6.565526E-02     1.932031E+01     1.197129E+01
   9.000000E-03     6.593206E-02     1.931331E+01     1.196430E+01
   9.166667E-03     6.620945E-02     1.930630E+01     1.195729E+01
   9.333333E-03     6.648743E-02     1.929928E+01     1.195027E+01
   9.500000E-03     6.676598E-02     1.929225E+01     1.194323E+01
   9.666667E-03     6.704512E-02     1.928520E+01     1.193618E+01
   9.833333E-03     6.732483E-02     1.927814E+01     1.192912E+01
   1.000000E-02     6.760513E-02     1.927106E+01     1.192205E+01
   1.016667E-02     6.788602E-02     1.926397E+01     1.191496E+01
   1.033333E-02     6.816748E-02     1.925687E+01     1.190786E+01
   1.050000E-02     6.844953E-02     1.924976E+01     1.190074E+01
   1.066667E-02     6.873216E-02     1.924263E+01     1.189362E+01
   1.083333E-02     6.901537E-02     1.923549E+01     1.188648E+01
   1.100000E-02     6.929917E-02     1.922834E+01     1.187932E+01
   1.116667E-02     6.958354E-02     1.922117E+01     1.187216E+01
   1.133333E-02     6.986850E-02     1.921399E+01     1.186498E+01
