# Z  N  sigma_alpha  n_bins  ipar
   32.00   41.00  0.1690    19     5
# bin  R_exp  sigma_exp  R_pred(=R_unit*QW_SM^2)
    1   1.3270000E+01   2.2990000E+01   3.4392582E+01
    2   3.8060001E+01   1.5700000E+01   2.6748122E+01
    3   2.9090000E+01   1.2640000E+01   2.0833852E+01
    4   2.1370001E+01   1.2210000E+01   1.6235582E+01
    5   1.2270000E+01   1.1520000E+01   1.2647617E+01
    6   4.9200001E+00   1.1580000E+01   9.8412842E+00
    7   4.2900000E+00   1.1270000E+01   7.6434707E+00
    8   5.9999999E-02   1.0770000E+01   5.9217371E+00
    9   9.1499996E+00   1.1020000E+01   4.5738244E+00
   10   2.4200001E+00   1.0280000E+01   3.5201496E+00
   11   3.9200001E+00   1.0340000E+01   2.6983658E+00
   12  -2.5500000E+00   1.0770000E+01   2.0593670E+00
   13   5.6000000E-01   1.0340000E+01   1.5643191E+00
   14  -1.0520000E+01   1.0150000E+01   1.1824259E+00
   15  -4.2900000E+00   1.0090000E+01   8.8923023E-01
   16  -8.7799997E+00   9.8999996E+00   6.6530537E-01
   17  -5.6000000E-01   9.8400002E+00   4.9523766E-01
   18  -9.3000001E-01   9.7799997E+00   3.6682599E-01
   19   1.3520000E+01   9.5900002E+00   2.7044605E-01
