# N_e   creados [Evts/kg/dia]   extraidos [Evts/kg/dia]
    0   1.081181E+01   2.135883E+01
    1   9.927491E+00   7.963200E+00
    2   5.743525E+00   2.038719E+00
    3   2.860950E+00   4.776624E-01
    4   1.375315E+00   1.095858E-01
    5   6.604874E-01   2.464911E-02
    6   3.173343E-01   5.375656E-03
    7   1.514695E-01   1.123557E-03
    8   7.137144E-02   2.216923E-04
    9   3.306106E-02   4.034359E-05
   10   1.502082E-02   6.544328E-06
   11   6.686289E-03   9.044456E-07
   12   2.915259E-03   1.005022E-07
   13   1.245344E-03   8.296721E-09
   14   5.215427E-04   4.473493E-10
   15   2.143030E-04   1.172562E-11
