# N_e   creados [Evts/kg/dia]   extraidos [Evts/kg/dia]
    0   3.767736E+00   3.872850E+00
    1   1.044401E+01   1.047345E+01
    2   6.693889E+00   6.694799E+00
    3   4.478304E+00   4.507577E+00
    4   4.100237E+00   4.095470E+00
    5   3.195109E+00   3.172041E+00
    6   2.271338E+00   2.269194E+00
    7   1.924886E+00   1.906082E+00
    8   1.454750E+00   1.429768E+00
    9   1.015048E+00   9.965807E-01
   10   7.281950E-01   7.147221E-01
   11   5.401209E-01   5.278650E-01
   12   3.941060E-01   3.817318E-01
   13   2.674192E-01   2.592895E-01
   14   1.897773E-01   1.837088E-01
   15   1.371319E-01   1.310023E-01
