# PE_center   Total   1SE   2SE   3SE   4SE   5SE   6SE   7SE
     2.5   0.130952E-01   0.130917E-01   0.344013E-05   0.895894E-09   0.242583E-12   0.625089E-16   0.149218E-19   0.328120E-23
     7.5   0.879420E-01   0.879134E-01   0.286824E-04   0.802833E-08   0.225368E-11   0.593434E-15   0.143720E-18   0.319303E-22
    12.5   0.383168E+00   0.382976E+00   0.192627E-03   0.622857E-07   0.187926E-10   0.516733E-14   0.128809E-17   0.292134E-21
    17.5   0.108323E+01   0.108219E+01   0.104187E-02   0.418285E-06   0.140626E-09   0.412612E-13   0.107403E-16   0.251236E-20
    22.5   0.198818E+01   0.198364E+01   0.453847E-02   0.243154E-05   0.944343E-09   0.302133E-12   0.833177E-16   0.203097E-19
    27.5   0.237452E+01   0.235858E+01   0.159234E-01   0.122365E-04   0.569155E-08   0.202906E-11   0.601399E-15   0.154350E-18
    32.5   0.186419E+01   0.181915E+01   0.449957E-01   0.533050E-04   0.307844E-07   0.124965E-10   0.403880E-14   0.110268E-17
    37.5   0.101275E+01   0.910149E+00   0.102404E+00   0.201007E-03   0.149425E-06   0.705779E-10   0.252344E-13   0.740489E-17
    42.5   0.483747E+00   0.295383E+00   0.187707E+00   0.656156E-03   0.650931E-06   0.365571E-09   0.146697E-12   0.467470E-16
    47.5   0.341155E+00   0.621864E-01   0.277112E+00   0.185415E-02   0.254481E-05   0.173653E-08   0.793462E-12   0.277421E-15
    52.5   0.342528E+00   0.849210E-02   0.329492E+00   0.453545E-02   0.892839E-05   0.756457E-08   0.399287E-11   0.154758E-14
    57.5   0.325919E+00   0.752258E-03   0.315535E+00   0.960373E-02   0.281126E-04   0.302202E-07   0.186949E-10   0.811560E-14
    62.5   0.261094E+00   0.432300E-04   0.243368E+00   0.176037E-01   0.794403E-04   0.110719E-06   0.814404E-10   0.400080E-13
    67.5   0.179315E+00   0.161131E-05   0.151180E+00   0.279323E-01   0.201457E-03   0.372003E-06   0.330077E-09   0.185398E-12
    72.5   0.114464E+00   0.389565E-07   0.756373E-01   0.383667E-01   0.458489E-03   0.114623E-05   0.124470E-08   0.807622E-12
    77.5   0.770371E-01   0.611131E-09   0.304787E-01   0.456187E-01   0.936455E-03   0.323903E-05   0.436710E-08   0.330730E-11
    82.5   0.585708E-01   0.621748E-11   0.989160E-02   0.469542E-01   0.171652E-02   0.839372E-05   0.142556E-07   0.127313E-10
    87.5   0.472651E-01   0.410214E-13   0.258549E-02   0.418359E-01   0.282369E-02   0.199479E-04   0.432957E-07   0.460698E-10
    92.5   0.370240E-01   0.175685E-15   0.544318E-03   0.322675E-01   0.416863E-02   0.434764E-04   0.122345E-06   0.156719E-09
    97.5   0.272464E-01   0.487888E-18   0.922922E-04   0.215439E-01   0.552302E-02   0.868981E-04   0.321657E-06   0.501145E-09
   102.5   0.191912E-01   0.878336E-21   0.126027E-04   0.124515E-01   0.656699E-02   0.159284E-03   0.786805E-06   0.150642E-08
   107.5   0.135081E-01   0.102702E-23   0.138622E-05   0.622971E-02   0.700747E-02   0.267757E-03   0.179069E-05   0.425685E-08
   112.5   0.982542E-02   0.778568E-27   0.122798E-06   0.269808E-02   0.671064E-02   0.412775E-03   0.379177E-05   0.113076E-07
   117.5   0.736992E-02   0.382530E-30   0.876026E-08   0.101153E-02   0.576732E-02   0.583569E-03   0.747018E-05   0.282356E-07
   122.5   0.554692E-02   0.122081E-33   0.503418E-09   0.328285E-03   0.444826E-02   0.756617E-03   0.136929E-04   0.662791E-07
   127.5   0.409438E-02   0.252662E-37   0.232992E-10   0.922289E-04   0.307902E-02   0.899633E-03   0.233523E-04   0.146251E-06
   132.5   0.295344E-02   0.338814E-41   0.868358E-12   0.224292E-04   0.191268E-02   0.980980E-03   0.370539E-04   0.303366E-06
   137.5   0.210729E-02   0.295074E-45   0.260701E-13   0.472187E-05   0.106630E-02   0.980980E-03   0.547028E-04   0.591540E-06
   142.5   0.151020E-02   0.166741E-49   0.630400E-15   0.860521E-06   0.533485E-03   0.899633E-03   0.751376E-04   0.108430E-05
   147.5   0.109418E-02   0.610309E-54   0.122747E-16   0.135747E-06   0.239535E-03   0.756617E-03   0.960230E-04   0.186834E-05
   152.5   0.797309E-03   0.145013E-58   0.192517E-18   0.185377E-07   0.965219E-04   0.583569E-03   0.114173E-03   0.302631E-05
   157.5   0.578597E-03   0.223766E-63   0.243229E-20   0.219148E-08   0.349054E-04   0.412775E-03   0.126306E-03   0.460804E-05
   162.5   0.415685E-03   0.223579E-68   0.247430E-22   0.224251E-09   0.113282E-04   0.267757E-03   0.130004E-03   0.659576E-05
   167.5   0.295955E-03   0.144896E-73   0.202722E-24   0.198642E-10   0.329938E-05   0.159284E-03   0.124497E-03   0.887485E-05
   172.5   0.209912E-03   0.610632E-79   0.133824E-26   0.152333E-11   0.862428E-06   0.868981E-04   0.110926E-03   0.112255E-04
   177.5   0.148981E-03   0.166570E-84   0.711254E-29   0.101116E-12   0.202307E-06   0.434763E-04   0.919556E-04   0.133473E-04
   182.5   0.105833E-03   0.294346E-90   0.304394E-31   0.580980E-14   0.425888E-07   0.199479E-04   0.709241E-04   0.149186E-04
   187.5   0.749726E-04   0.338832E-96   0.104995E-33   0.289022E-15   0.804662E-08   0.839373E-05   0.508957E-04   0.156752E-04
   192.5   0.527041E-04   0.252374-102   0.291559E-36   0.124448E-16   0.136434E-08   0.323902E-05   0.339813E-04   0.154825E-04
   197.5   0.366307E-04   0.121559-108   0.651728E-39   0.463791E-18   0.207594E-09   0.114623E-05   0.211090E-04   0.143753E-04
   202.5   0.251193E-04   0.382286-115   0.117468E-41   0.149673E-19   0.283507E-10   0.372004E-06   0.122003E-04   0.125470E-04
   207.5   0.169659E-04   0.777606-122   0.170434E-44   0.418062E-21   0.347453E-11   0.110719E-06   0.656056E-05   0.102946E-04
