# T_nr_keV Q_y_e_keV
2.66494391e-01 3.16827853e+00
2.66930792e-01 3.17349961e+00
2.67367906e-01 3.17872249e+00
2.67805737e-01 3.18394710e+00
2.68244284e-01 3.18917340e+00
2.68683550e-01 3.19440133e+00
2.69123535e-01 3.19963086e+00
2.69564240e-01 3.20486192e+00
2.70005667e-01 3.21009447e+00
2.70447817e-01 3.21532846e+00
2.70890691e-01 3.22056383e+00
2.71334291e-01 3.22580053e+00
2.71778616e-01 3.23103850e+00
2.72223670e-01 3.23627771e+00
2.72669452e-01 3.24151808e+00
2.73115964e-01 3.24675957e+00
2.73563207e-01 3.25200212e+00
2.74011183e-01 3.25724568e+00
2.74459892e-01 3.26249019e+00
2.74909336e-01 3.26773560e+00
2.75359516e-01 3.27298184e+00
2.75810434e-01 3.27822887e+00
2.76262089e-01 3.28347663e+00
2.76714484e-01 3.28872505e+00
2.77167621e-01 3.29397409e+00
2.77621499e-01 3.29922368e+00
2.78076120e-01 3.30447376e+00
2.78531486e-01 3.30972427e+00
2.78987597e-01 3.31497516e+00
2.79444456e-01 3.32022636e+00
2.79902062e-01 3.32547781e+00
2.80360418e-01 3.33072946e+00
2.80819525e-01 3.33598123e+00
2.81279383e-01 3.34123308e+00
2.81739995e-01 3.34648492e+00
2.82201360e-01 3.35173671e+00
2.82663481e-01 3.35698838e+00
2.83126359e-01 3.36223986e+00
2.83589995e-01 3.36749109e+00
2.84054390e-01 3.37274201e+00
2.84519546e-01 3.37799254e+00
2.84985463e-01 3.38324263e+00
2.85452143e-01 3.38849220e+00
2.85919588e-01 3.39374119e+00
2.86387798e-01 3.39898953e+00
2.86856775e-01 3.40423716e+00
2.87326519e-01 3.40948400e+00
2.87797033e-01 3.41472998e+00
2.88268318e-01 3.41997504e+00
2.88740374e-01 3.42521911e+00
2.89213203e-01 3.43046211e+00
2.89686806e-01 3.43570398e+00
2.90161185e-01 3.44094369e+00
2.90636341e-01 3.44617070e+00
2.91112275e-01 3.45138273e+00
2.91588989e-01 3.45658061e+00
2.92066482e-01 3.46176520e+00
2.92544758e-01 3.46693735e+00
2.93023817e-01 3.47209792e+00
2.93503661e-01 3.47724780e+00
2.93984290e-01 3.48238785e+00
2.94465707e-01 3.48751898e+00
2.94947911e-01 3.49264208e+00
2.95430906e-01 3.49775807e+00
2.95914691e-01 3.50286787e+00
2.96399269e-01 3.50797240e+00
2.96884640e-01 3.51307260e+00
2.97370806e-01 3.51816943e+00
2.97857768e-01 3.52326384e+00
2.98345527e-01 3.52835680e+00
2.98834085e-01 3.53344928e+00
2.99323443e-01 3.53854227e+00
2.99813603e-01 3.54363678e+00
3.00304565e-01 3.54873380e+00
3.00796331e-01 3.55383435e+00
3.01288903e-01 3.55893946e+00
3.01782281e-01 3.56405017e+00
3.02276467e-01 3.56916753e+00
3.02771462e-01 3.57429259e+00
3.03267268e-01 3.57942641e+00
3.03763886e-01 3.58457009e+00
3.04261317e-01 3.58972470e+00
3.04759563e-01 3.59489135e+00
3.05258624e-01 3.60007115e+00
3.05758503e-01 3.60526521e+00
3.06259200e-01 3.61047467e+00
3.06760718e-01 3.61570067e+00
3.07263056e-01 3.62094437e+00
3.07766217e-01 3.62620692e+00
3.08270203e-01 3.63148951e+00
3.08775013e-01 3.63679331e+00
3.09280650e-01 3.64211954e+00
3.09787115e-01 3.64746939e+00
3.10294410e-01 3.65284408e+00
3.10802535e-01 3.65824486e+00
3.11311492e-01 3.66367295e+00
3.11821283e-01 3.66912963e+00
3.12331908e-01 3.67461614e+00
3.12843370e-01 3.68013378e+00
3.13355669e-01 3.68568382e+00
3.13868807e-01 3.69126759e+00
3.14382786e-01 3.69688637e+00
3.14897606e-01 3.70254151e+00
3.15413269e-01 3.70823435e+00
3.15929777e-01 3.71396847e+00
3.16447130e-01 3.71974973e+00
3.16965331e-01 3.72557640e+00
3.17484380e-01 3.73144632e+00
3.18004279e-01 3.73735731e+00
3.18525029e-01 3.74330718e+00
3.19046633e-01 3.74929368e+00
3.19569090e-01 3.75531458e+00
3.20092403e-01 3.76136760e+00
3.20616573e-01 3.76745046e+00
3.21141601e-01 3.77356083e+00
3.21667489e-01 3.77969637e+00
3.22194239e-01 3.78585472e+00
3.22721851e-01 3.79203349e+00
3.23250326e-01 3.79823026e+00
3.23779668e-01 3.80444261e+00
3.24309876e-01 3.81066806e+00
3.24840952e-01 3.81690414e+00
3.25372898e-01 3.82314833e+00
3.25905715e-01 3.82939809e+00
3.26439405e-01 3.83565088e+00
3.26973968e-01 3.84190410e+00
3.27509407e-01 3.84815514e+00
3.28045723e-01 3.85440137e+00
3.28582917e-01 3.86064012e+00
3.29120990e-01 3.86686871e+00
3.29659945e-01 3.87308442e+00
3.30199783e-01 3.87928452e+00
3.30740504e-01 3.88546623e+00
3.31282111e-01 3.89162676e+00
3.31824604e-01 3.89776330e+00
3.32367987e-01 3.90387905e+00
3.32912259e-01 3.90998872e+00
3.33457422e-01 3.91609360e+00
3.34003478e-01 3.92219424e+00
3.34550428e-01 3.92829115e+00
3.35098274e-01 3.93438489e+00
3.35647017e-01 3.94047598e+00
3.36196658e-01 3.94656499e+00
3.36747200e-01 3.95265246e+00
3.37298643e-01 3.95873895e+00
3.37850989e-01 3.96482503e+00
3.38404240e-01 3.97091127e+00
3.38958396e-01 3.97699824e+00
3.39513460e-01 3.98308653e+00
3.40069433e-01 3.98917673e+00
3.40626317e-01 3.99526943e+00
3.41184112e-01 4.00136524e+00
3.41742821e-01 4.00746475e+00
3.42302445e-01 4.01356858e+00
3.42862985e-01 4.01967735e+00
3.43424443e-01 4.02579169e+00
3.43986821e-01 4.03191222e+00
3.44550119e-01 4.03803958e+00
3.45114340e-01 4.04417442e+00
3.45679485e-01 4.05031738e+00
3.46245555e-01 4.05646912e+00
3.46812553e-01 4.06263030e+00
3.47380478e-01 4.06880160e+00
3.47949334e-01 4.07498367e+00
3.48519121e-01 4.08117722e+00
3.49089842e-01 4.08738292e+00
3.49661497e-01 4.09361212e+00
3.50234088e-01 4.09988912e+00
3.50807616e-01 4.10621007e+00
3.51382084e-01 4.11256974e+00
3.51957493e-01 4.11896284e+00
3.52533844e-01 4.12538405e+00
3.53111139e-01 4.13182797e+00
3.53689379e-01 4.13828915e+00
3.54268566e-01 4.14476211e+00
3.54848701e-01 4.15124128e+00
3.55429786e-01 4.15772107e+00
3.56011823e-01 4.16419581e+00
3.56594813e-01 4.17065978e+00
3.57178758e-01 4.17710721e+00
3.57763659e-01 4.18353228e+00
3.58349518e-01 4.18992909e+00
3.58936336e-01 4.19629170e+00
3.59524115e-01 4.20261411e+00
3.60112857e-01 4.20889027e+00
3.60702563e-01 4.21511406e+00
3.61293234e-01 4.22127930e+00
3.61884873e-01 4.22737975e+00
3.62477481e-01 4.23340913e+00
3.63071058e-01 4.23936108e+00
3.63665608e-01 4.24522919e+00
3.64261132e-01 4.25100698e+00
3.64857631e-01 4.25669773e+00
3.65455107e-01 4.26231450e+00
3.66053561e-01 4.26786124e+00
3.66652995e-01 4.27334192e+00
3.67253410e-01 4.27876050e+00
3.67854809e-01 4.28412103e+00
3.68457193e-01 4.28942757e+00
3.69060563e-01 4.29468423e+00
3.69664921e-01 4.29989518e+00
3.70270269e-01 4.30506460e+00
3.70876608e-01 4.31019673e+00
3.71483940e-01 4.31529587e+00
3.72092267e-01 4.32036633e+00
3.72701589e-01 4.32541248e+00
3.73311910e-01 4.33043875e+00
3.73923230e-01 4.33544958e+00
3.74535551e-01 4.34044948e+00
3.75148875e-01 4.34544300e+00
3.75763203e-01 4.35043473e+00
3.76378537e-01 4.35542931e+00
3.76994879e-01 4.36043142e+00
3.77612230e-01 4.36544579e+00
3.78230592e-01 4.37047720e+00
3.78849966e-01 4.37553048e+00
3.79470355e-01 4.38061049e+00
3.80091760e-01 4.38572215e+00
3.80714182e-01 4.39087042e+00
3.81337624e-01 4.39606033e+00
3.81962087e-01 4.40129693e+00
3.82587572e-01 4.40658533e+00
3.83214081e-01 4.41193070e+00
3.83841617e-01 4.41733823e+00
3.84470180e-01 4.42281320e+00
3.85099772e-01 4.42836090e+00
3.85730395e-01 4.43398671e+00
3.86362051e-01 4.43969602e+00
3.86994742e-01 4.44550906e+00
3.87628468e-01 4.45145586e+00
3.88263232e-01 4.45752643e+00
3.88899036e-01 4.46370921e+00
3.89535881e-01 4.46999254e+00
3.90173768e-01 4.47636463e+00
3.90812701e-01 4.48281357e+00
3.91452679e-01 4.48932736e+00
3.92093706e-01 4.49589384e+00
3.92735782e-01 4.50250075e+00
3.93378910e-01 4.50913571e+00
3.94023091e-01 4.51578620e+00
3.94668326e-01 4.52243960e+00
3.95314619e-01 4.52908315e+00
3.95961969e-01 4.53570396e+00
3.96610380e-01 4.54228903e+00
3.97259853e-01 4.54882522e+00
3.97910389e-01 4.55529927e+00
3.98561990e-01 4.56169779e+00
3.99214659e-01 4.56800725e+00
3.99868396e-01 4.57421400e+00
4.00523204e-01 4.58030426e+00
4.01179084e-01 4.58626410e+00
4.01836038e-01 4.59207949e+00
4.02494068e-01 4.59773624e+00
4.03153175e-01 4.60322002e+00
4.03813362e-01 4.60857186e+00
4.04474630e-01 4.61385485e+00
4.05136981e-01 4.61907143e+00
4.05800416e-01 4.62422392e+00
4.06464938e-01 4.62931467e+00
4.07130548e-01 4.63434606e+00
4.07797248e-01 4.63932049e+00
4.08465040e-01 4.64424039e+00
4.09133925e-01 4.64910820e+00
4.09803906e-01 4.65392641e+00
4.10474983e-01 4.65869752e+00
4.11147160e-01 4.66342406e+00
4.11820438e-01 4.66810859e+00
4.12494818e-01 4.67275369e+00
4.13170302e-01 4.67736197e+00
