# Tabla NEST para RED-100
# Xe NR, rho=2.96 g/cm3, E_drift=218.0 V/cm, NEST 2.4.5
# F estimado con 20000 muestras de GetQuanta por energia
# T_nr[keV]   Qy[e-/keV]   F=Var(Ne)/<Ne>
# N_puntos = 4000
0.200000   0.000000   1.000000
0.202951   0.000000   1.000000
0.205901   0.000000   1.000000
0.208852   0.000000   1.000000
0.211803   2.566786   0.515089
0.214754   2.614101   0.507180
0.217704   2.661174   0.502074
0.220655   2.707993   0.488477
0.223606   2.754547   0.497816
0.226557   2.800826   0.476657
0.229507   2.846821   0.480437
0.232458   2.892522   0.473638
0.235409   2.937921   0.473704
0.238360   2.983010   0.468204
0.241310   3.027782   0.467472
0.244261   3.072229   0.470098
0.247212   3.116346   0.458472
0.250163   3.160126   0.463955
0.253113   3.203564   0.453476
0.256064   3.246655   0.454644
0.259015   3.289394   0.460119
0.261965   3.331777   0.454688
0.264916   3.373799   0.454616
0.267867   3.415458   0.451495
0.270818   3.456751   0.450231
0.273768   3.497674   0.454911
0.276719   3.538225   0.456039
0.279670   3.578403   0.458868
0.282621   3.618205   0.447623
0.285571   3.657630   0.453687
0.288522   3.696677   0.452153
0.291473   3.735344   0.445653
0.294424   3.773631   0.445492
0.297374   3.811539   0.451791
0.300325   3.849065   0.442807
0.303276   3.886212   0.449850
0.306227   3.922978   0.444343
0.309177   3.959364   0.447353
0.312128   3.995371   0.445735
0.315079   4.031001   0.447509
0.318030   4.066253   0.444039
0.320980   4.101128   0.442741
0.323931   4.135630   0.441832
0.326882   4.169758   0.438261
0.329832   4.203514   0.440991
0.332783   4.236901   0.434428
0.335734   4.269920   0.437831
0.338685   4.302572   0.439165
0.341635   4.334861   0.441098
0.344586   4.366789   0.442987
0.347537   4.398357   0.442577
0.350488   4.429568   0.437921
0.353438   4.460425   0.429035
0.356389   4.490929   0.439194
0.359340   4.521085   0.436518
0.362291   4.550894   0.443439
0.365241   4.580358   0.436429
0.368192   4.609482   0.431345
0.371143   4.638268   0.434797
0.374094   4.666718   0.435208
0.377044   4.694836   0.441441
0.379995   4.722625   0.439354
0.382946   4.750087   0.436000
0.385896   4.777226   0.431521
0.388847   4.804044   0.434440
0.391798   4.830546   0.431989
0.394749   4.856733   0.436013
0.397699   4.882609   0.434166
0.400650   4.908178   0.436269
0.403601   4.933441   0.432291
0.406552   4.958404   0.440005
0.409502   4.983067   0.432765
0.412453   5.007436   0.432199
0.415404   5.031513   0.431547
0.418355   5.055300   0.446680
0.421305   5.078803   0.436765
0.424256   5.102022   0.430494
0.427207   5.124962   0.431423
0.430158   5.147626   0.423865
0.433108   5.170017   0.425745
0.436059   5.192138   0.439110
0.439010   5.213992   0.433374
0.441960   5.235582   0.428547
0.444911   5.256911   0.431672
0.447862   5.277983   0.431168
0.450813   5.298800   0.427383
0.453763   5.319366   0.420051
0.456714   5.339683   0.430180
0.459665   5.359754   0.429300
0.462616   5.379583   0.419219
