# Tabla NEST para RED-100 con ARGON  (Ar, retroceso NUCLEAR - senal CEvNS)
# Modelo: nestpy.LArNEST (NEST 2.4.5), E_drift=218.0 V/cm, rho=1.4 g/cm3
# Qy(NR) = LArNEST reescalado para pasar por ReD 2025 Tabla 1 (2.4-7.6 keV). T_nr<2 keV: EXTRAPOLACION DE MODELO (sin medida).
# ReD 2025 (arXiv:2510.16404) Tabla 1 = fuente primaria del yield NR (2.4-7.6 keV, medido).
# Bondar et al. 2017 (JINST 12, C05010): solo 80/233 keV; citado por consistencia con ref.[46], NO usado.
# F_MODE = nest : F muestreada de LArNEST get_yield_fluctuations (220x8000); sub-Poissoniana para NR
# T_nr[keV]   Qy[e-/keV]   F=Var(Ne)/<Ne>
# N_puntos = 4000
0.150000   1.122633   1.101863
0.151463   1.151018   1.092425
0.152926   1.179736   1.082987
0.154389   1.208783   1.073549
0.155851   1.238154   1.064111
0.157314   1.267845   1.054673
0.158777   1.297852   1.045235
0.160240   1.328168   1.035797
0.161703   1.358791   1.026359
0.163166   1.389713   1.016921
0.164629   1.420930   1.007483
0.166092   1.452437   0.998045
0.167554   1.484229   0.988607
0.169017   1.516299   0.979169
0.170480   1.548642   0.969731
0.171943   1.581253   0.960293
0.173406   1.614125   0.950855
0.174869   1.647252   0.941417
0.176332   1.680630   0.931979
0.177794   1.714250   0.916409
0.179257   1.748109   0.898682
0.180720   1.782198   0.880955
0.182183   1.816512   0.863228
0.183646   1.851045   0.845501
0.185109   1.885791   0.827774
0.186572   1.920741   0.810047
0.188035   1.955892   0.792321
0.189497   1.991234   0.774594
0.190960   2.026763   0.756867
0.192423   2.062472   0.739140
0.193886   2.098353   0.721413
0.195349   2.134401   0.703686
0.196812   2.170608   0.685959
0.198275   2.206969   0.668232
0.199737   2.243475   0.650505
0.201200   2.280121   0.632778
0.202663   2.316899   0.615051
0.204126   2.353804   0.597308
0.205589   2.390828   0.579549
0.207052   2.427965   0.561789
0.208515   2.465208   0.544030
0.209977   2.502550   0.526270
0.211440   2.539985   0.508511
0.212903   2.577506   0.490751
0.214366   2.615106   0.472992
0.215829   2.652780   0.455232
0.217292   2.690520   0.437473
0.218755   2.728320   0.419713
0.220218   2.766173   0.401954
0.221680   2.804074   0.384195
0.223143   2.842016   0.366435
0.224606   2.879992   0.348676
0.226069   2.917996   0.330916
0.227532   2.956023   0.313157
0.228995   2.994065   0.295397
0.230458   3.032118   0.279759
0.231920   3.070175   0.271676
0.233383   3.108229   0.263594
0.234846   3.146277   0.255511
0.236309   3.184310   0.247429
0.237772   3.222325   0.239347
0.239235   3.260314   0.231264
0.240698   3.298274   0.223182
0.242161   3.336197   0.215099
0.243623   3.374079   0.207017
0.245086   3.411915   0.198935
0.246549   3.449700   0.190852
0.248012   3.487427   0.182770
0.249475   3.525093   0.174687
0.250938   3.562691   0.166605
0.252401   3.600219   0.158523
0.253863   3.637669   0.150440
0.255326   3.675039   0.142358
0.256789   3.712323   0.134275
0.258252   3.749517   0.135896
0.259715   3.786617   0.137932
0.261178   3.823617   0.139968
0.262641   3.860515   0.142004
0.264104   3.897305   0.144040
0.265566   3.933984   0.146076
0.267029   3.970548   0.148112
0.268492   4.006994   0.150148
0.269955   4.043316   0.152184
0.271418   4.079512   0.154220
0.272881   4.115579   0.156256
0.274344   4.151512   0.158292
0.275806   4.187308   0.160328
0.277269   4.222965   0.162364
0.278732   4.258478   0.164400
0.280195   4.293846   0.166436
0.281658   4.329064   0.168472
0.283121   4.364130   0.170508
0.284584   4.399042   0.171937
0.286047   4.433796   0.173103
0.287509   4.468389   0.174270
0.288972   4.502821   0.175436
0.290435   4.537087   0.176603
0.291898   4.571185   0.177769
0.293361   4.605114   0.178935
0.294824   4.638872   0.180102
0.296287   4.672455   0.181268
0.297749   4.705862   0.182435
0.299212   4.739091   0.183601
0.300675   4.772141   0.184767
0.302138   4.805009   0.185934
0.303601   4.837694   0.187100
0.305064   4.870194   0.188267
0.306527   4.902508   0.189433
0.307989   4.934634   0.190599
0.309452   4.966571   0.191766
0.310915   4.998318   0.191585
0.312378   5.029873   0.189679
0.313841   5.061235   0.187772
0.315304   5.092403   0.185866
0.316767   5.123377   0.183959
0.318230   5.154154   0.182053
0.319692   5.184735   0.180146
0.321155   5.215118   0.178240
0.322618   5.245303   0.176333
0.324081   5.275289   0.174427
0.325544   5.305076   0.172520
0.327007   5.334662   0.170614
0.328470   5.364048   0.168707
0.329932   5.393232   0.166801
0.331395   5.422215   0.164894
0.332858   5.450996   0.162988
0.334321   5.479575   0.161081
0.335784   5.507951   0.159175
0.337247   5.536125   0.157528
0.338710   5.564096   0.157080
0.340173   5.591865   0.156632
0.341635   5.619430   0.156184
0.343098   5.646793   0.155736
0.344561   5.673953   0.155287
0.346024   5.700910   0.154839
0.347487   5.727665   0.154391
0.348950   5.754217   0.153943
0.350413   5.780568   0.153495
0.351875   5.806716   0.153047
0.353338   5.832663   0.152599
0.354801   5.858409   0.152151
0.356264   5.883954   0.151703
0.357727   5.909299   0.151255
0.359190   5.934444   0.150807
0.360653   5.959389   0.150358
0.362116   5.984135   0.149910
