# Tabla NEST para RED-100 con ARGON  (Ar, retroceso ELECTRONICO)
# Uso: fondo beta de 39Ar (39Ar -> 39K + e- + nubar).  El espectro
#      beta y la actividad viven en chi2_bkg_nest.f90.
# Modelo: nestpy.LArNEST get_er_yields, E_drift=218.0 V/cm, rho=1.4
# F_er = 0.3 constante (get_fano_er no disponible) - sistematico
# E_er < 0.2 keV: EXTRAPOLACION DE MODELO (sin datos ER de LAr a esa energia)
# E_er[keV]   Qy_er[e-/keV]   F_er
# N_puntos = 4000
2.000000e-02   53.038629   0.300000
2.003661e-02   53.038620   0.300000
2.007328e-02   53.038611   0.300000
2.011003e-02   53.038602   0.300000
2.014684e-02   53.038593   0.300000
2.018371e-02   53.038584   0.300000
2.022066e-02   53.038575   0.300000
2.025767e-02   53.038566   0.300000
2.029475e-02   53.038557   0.300000
2.033190e-02   53.038547   0.300000
2.036912e-02   53.038538   0.300000
2.040640e-02   53.038529   0.300000
2.044375e-02   53.038520   0.300000
2.048118e-02   53.038510   0.300000
2.051866e-02   53.038501   0.300000
2.055622e-02   53.038492   0.300000
2.059385e-02   53.038482   0.300000
2.063155e-02   53.038473   0.300000
2.066931e-02   53.038463   0.300000
2.070714e-02   53.038454   0.300000
2.074505e-02   53.038445   0.300000
2.078302e-02   53.038435   0.300000
2.082106e-02   53.038426   0.300000
2.085917e-02   53.038416   0.300000
2.089735e-02   53.038406   0.300000
2.093561e-02   53.038397   0.300000
2.097393e-02   53.038387   0.300000
2.101232e-02   53.038377   0.300000
2.105078e-02   53.038368   0.300000
2.108931e-02   53.038358   0.300000
2.112791e-02   53.038348   0.300000
2.116659e-02   53.038339   0.300000
2.120533e-02   53.038329   0.300000
2.124415e-02   53.038319   0.300000
2.128303e-02   53.038309   0.300000
2.132199e-02   53.038299   0.300000
2.136102e-02   53.038289   0.300000
2.140012e-02   53.038279   0.300000
2.143929e-02   53.038269   0.300000
2.147853e-02   53.038259   0.300000
2.151785e-02   53.038249   0.300000
2.155724e-02   53.038239   0.300000
2.159669e-02   53.038229   0.300000
2.163623e-02   53.038219   0.300000
2.167583e-02   53.038209   0.300000
2.171551e-02   53.038199   0.300000
2.175526e-02   53.038189   0.300000
2.179508e-02   53.038179   0.300000
2.183497e-02   53.038168   0.300000
2.187494e-02   53.038158   0.300000
2.191498e-02   53.038148   0.300000
2.195509e-02   53.038138   0.300000
2.199528e-02   53.038127   0.300000
2.203554e-02   53.038117   0.300000
2.207588e-02   53.038106   0.300000
2.211628e-02   53.038096   0.300000
2.215677e-02   53.038086   0.300000
2.219732e-02   53.038075   0.300000
2.223795e-02   53.038065   0.300000
2.227866e-02   53.038054   0.300000
2.231944e-02   53.038043   0.300000
2.236029e-02   53.038033   0.300000
2.240122e-02   53.038022   0.300000
2.244223e-02   53.038012   0.300000
2.248331e-02   53.038001   0.300000
2.252446e-02   53.037990   0.300000
2.256569e-02   53.037979   0.300000
2.260699e-02   53.037969   0.300000
2.264838e-02   53.037958   0.300000
2.268983e-02   53.037947   0.300000
2.273136e-02   53.037936   0.300000
2.277297e-02   53.037925   0.300000
2.281466e-02   53.037914   0.300000
2.285642e-02   53.037903   0.300000
2.289825e-02   53.037892   0.300000
2.294017e-02   53.037881   0.300000
2.298216e-02   53.037870   0.300000
2.302423e-02   53.037859   0.300000
2.306637e-02   53.037848   0.300000
2.310859e-02   53.037837   0.300000
2.315089e-02   53.037826   0.300000
2.319327e-02   53.037814   0.300000
2.323572e-02   53.037803   0.300000
2.327825e-02   53.037792   0.300000
2.332086e-02   53.037781   0.300000
2.336355e-02   53.037769   0.300000
2.340631e-02   53.037758   0.300000
2.344916e-02   53.037747   0.300000
2.349208e-02   53.037735   0.300000
2.353508e-02   53.037724   0.300000
2.357816e-02   53.037712   0.300000
2.362132e-02   53.037701   0.300000
2.366456e-02   53.037689   0.300000
2.370787e-02   53.037677   0.300000
2.375127e-02   53.037666   0.300000
2.379474e-02   53.037654   0.300000
2.383830e-02   53.037642   0.300000
2.388193e-02   53.037631   0.300000
2.392565e-02   53.037619   0.300000
2.396944e-02   53.037607   0.300000
2.401332e-02   53.037595   0.300000
2.405727e-02   53.037583   0.300000
2.410131e-02   53.037572   0.300000
2.414542e-02   53.037560   0.300000
2.418962e-02   53.037548   0.300000
2.423390e-02   53.037536   0.300000
2.427825e-02   53.037524   0.300000
2.432269e-02   53.037512   0.300000
2.436722e-02   53.037499   0.300000
2.441182e-02   53.037487   0.300000
2.445650e-02   53.037475   0.300000
2.450127e-02   53.037463   0.300000
2.454612e-02   53.037451   0.300000
2.459105e-02   53.037438   0.300000
2.463606e-02   53.037426   0.300000
2.468115e-02   53.037414   0.300000
2.472633e-02   53.037401   0.300000
2.477159e-02   53.037389   0.300000
2.481693e-02   53.037377   0.300000
2.486236e-02   53.037364   0.300000
2.490787e-02   53.037352   0.300000
2.495346e-02   53.037339   0.300000
2.499914e-02   53.037326   0.300000
2.504490e-02   53.037314   0.300000
2.509074e-02   53.037301   0.300000
2.513667e-02   53.037288   0.300000
2.518268e-02   53.037276   0.300000
2.522877e-02   53.037263   0.300000
2.527495e-02   53.037250   0.300000
2.532122e-02   53.037237   0.300000
2.536756e-02   53.037224   0.300000
2.541400e-02   53.037211   0.300000
2.546052e-02   53.037198   0.300000
2.550712e-02   53.037185   0.300000
2.555381e-02   53.037172   0.300000
2.560058e-02   53.037159   0.300000
