# escenario   exposicion_kgd   A_90(xSM, Dchi2=2.706)   S_tot   B_tot   S/sqrtB
  sin_fondo           1.920000E+02       1.02198   5.60069E+03   0.00000E+00   0.00000E+00
  sin_fondo           3.840000E+02       1.01554   1.12014E+04   0.00000E+00   0.00000E+00
  sin_fondo           9.600000E+02       1.00983   2.80035E+04   0.00000E+00   0.00000E+00
  sin_fondo           1.920000E+03       1.00695   5.60069E+04   0.00000E+00   0.00000E+00
  sin_fondo           9.600000E+03       1.00311   2.80035E+05   0.00000E+00   0.00000E+00
  sin_fondo           1.920000E+04       1.00220   5.60069E+05   0.00000E+00   0.00000E+00
  sin_fondo           6.432000E+04       1.00120   1.87623E+06   0.00000E+00   0.00000E+00
  sin_fondo           1.920000E+05       1.00070   5.60069E+06   0.00000E+00   0.00000E+00
  Ar39_UAr            1.920000E+02       1.02198   5.60069E+03   1.89287E+00   4.07082E+03
  Ar39_UAr            3.840000E+02       1.01555   1.12014E+04   3.78574E+00   5.75700E+03
  Ar39_UAr            9.600000E+02       1.00983   2.80035E+04   9.46435E+00   9.10262E+03
  Ar39_UAr            1.920000E+03       1.00695   5.60069E+04   1.89287E+01   1.28730E+04
  Ar39_UAr            9.600000E+03       1.00311   2.80035E+05   9.46435E+01   2.87850E+04
  Ar39_UAr            1.920000E+04       1.00220   5.60069E+05   1.89287E+02   4.07082E+04
  Ar39_UAr            6.432000E+04       1.00120   1.87623E+06   6.34111E+02   7.45082E+04
  Ar39_UAr            1.920000E+05       1.00070   5.60069E+06   1.89287E+03   1.28730E+05
  Ar39_atmosferico    1.920000E+02       1.02477   5.60069E+03   2.59297E+03   1.09987E+02
  Ar39_atmosferico    3.840000E+02       1.01752   1.12014E+04   5.18594E+03   1.55546E+02
  Ar39_atmosferico    9.600000E+02       1.01108   2.80035E+04   1.29649E+04   2.45939E+02
  Ar39_atmosferico    1.920000E+03       1.00783   5.60069E+04   2.59297E+04   3.47811E+02
  Ar39_atmosferico    9.600000E+03       1.00350   2.80035E+05   1.29649E+05   7.77728E+02
  Ar39_atmosferico    1.920000E+04       1.00248   5.60069E+05   2.59297E+05   1.09987E+03
  Ar39_atmosferico    6.432000E+04       1.00135   1.87623E+06   8.68645E+05   2.01310E+03
  Ar39_atmosferico    1.920000E+05       1.00078   5.60069E+06   2.59297E+06   3.47811E+03
