# Templates de respuesta RED-100 (Interpolacion PCHIP)
# Bloques: N_puntos
5000
0.000000E+00 1.034829E-31
6.001200E-02 1.034829E-31
1.200240E-01 1.034829E-31
1.800360E-01 1.034829E-31
2.400480E-01 1.034829E-31
3.000600E-01 1.034829E-31
3.600720E-01 1.034829E-31
4.200840E-01 1.034829E-31
4.800960E-01 1.034829E-31
5.401080E-01 1.034829E-31
6.001200E-01 1.034829E-31
6.601320E-01 1.034829E-31
7.201440E-01 1.034829E-31
7.801560E-01 1.034829E-31
8.401680E-01 1.034829E-31
9.001800E-01 1.034829E-31
9.601920E-01 1.034829E-31
1.020204E+00 1.034829E-31
1.080216E+00 1.034829E-31
1.140228E+00 1.034829E-31
1.200240E+00 1.034829E-31
1.260252E+00 1.034829E-31
1.320264E+00 1.034829E-31
1.380276E+00 1.034829E-31
1.440288E+00 1.034829E-31
1.500300E+00 1.034829E-31
1.560312E+00 1.034829E-31
1.620324E+00 1.034829E-31
1.680336E+00 1.034829E-31
1.740348E+00 1.034829E-31
1.800360E+00 1.034829E-31
1.860372E+00 1.034829E-31
1.920384E+00 1.034829E-31
1.980396E+00 1.034829E-31
2.040408E+00 1.034829E-31
2.100420E+00 1.034829E-31
2.160432E+00 1.034829E-31
2.220444E+00 1.034829E-31
2.280456E+00 1.034829E-31
2.340468E+00 1.034829E-31
2.400480E+00 1.034829E-31
2.460492E+00 1.034829E-31
2.520504E+00 8.905892E-04
2.580516E+00 9.182178E-04
2.640528E+00 9.466145E-04
2.700540E+00 9.757963E-04
2.760552E+00 1.005781E-03
2.820564E+00 1.036585E-03
2.880576E+00 1.068227E-03
2.940588E+00 1.100725E-03
3.000600E+00 1.134097E-03
3.060612E+00 1.168361E-03
3.120624E+00 1.203535E-03
3.180636E+00 1.239638E-03
3.240648E+00 1.276690E-03
3.300660E+00 1.314707E-03
3.360672E+00 1.353710E-03
3.420684E+00 1.393718E-03
3.480696E+00 1.434749E-03
3.540708E+00 1.476823E-03
3.600720E+00 1.519959E-03
3.660732E+00 1.564177E-03
3.720744E+00 1.609495E-03
3.780756E+00 1.655932E-03
3.840768E+00 1.703510E-03
3.900780E+00 1.752245E-03
3.960792E+00 1.802159E-03
4.020804E+00 1.853269E-03
4.080816E+00 1.905596E-03
4.140828E+00 1.959158E-03
4.200840E+00 2.013974E-03
4.260852E+00 2.070063E-03
4.320864E+00 2.127443E-03
4.380876E+00 2.186133E-03
4.440888E+00 2.246152E-03
4.500900E+00 2.307516E-03
4.560912E+00 2.370245E-03
4.620924E+00 2.434354E-03
4.680936E+00 2.499862E-03
4.740948E+00 2.566786E-03
4.800960E+00 2.635140E-03
4.860972E+00 2.704943E-03
4.920984E+00 2.776209E-03
4.980996E+00 2.848953E-03
5.041008E+00 2.923190E-03
5.101020E+00 2.998934E-03
5.161032E+00 3.076199E-03
5.221044E+00 3.154997E-03
5.281056E+00 3.235341E-03
5.341068E+00 3.317243E-03
5.401080E+00 3.400714E-03
5.461092E+00 3.485764E-03
5.521104E+00 3.572402E-03
5.581116E+00 3.660637E-03
5.641128E+00 3.750478E-03
5.701140E+00 3.841930E-03
5.761152E+00 3.935001E-03
5.821164E+00 4.029695E-03
5.881176E+00 4.126017E-03
5.941188E+00 4.223969E-03
6.001200E+00 4.323555E-03
6.061212E+00 4.424774E-03
6.121224E+00 4.527627E-03
6.181236E+00 4.632113E-03
6.241248E+00 4.738228E-03
6.301260E+00 4.845969E-03
6.361272E+00 4.955332E-03
6.421284E+00 5.066309E-03
6.481296E+00 5.178894E-03
6.541308E+00 5.293076E-03
6.601320E+00 5.408845E-03
6.661332E+00 5.526190E-03
6.721344E+00 5.645097E-03
6.781356E+00 5.765550E-03
6.841368E+00 5.887533E-03
6.901380E+00 6.011027E-03
6.961392E+00 6.136014E-03
7.021404E+00 6.262470E-03
7.081416E+00 6.390374E-03
7.141428E+00 6.519700E-03
7.201440E+00 6.650420E-03
7.261452E+00 6.782508E-03
7.321464E+00 6.915931E-03
7.381476E+00 7.050659E-03
7.441488E+00 7.186657E-03
7.501500E+00 7.323889E-03
7.561512E+00 7.462434E-03
