# Q_y tabla NEST para RED-100
# Xe NR, rho=2.9 g/cm3, E=218 V/cm
# T_nr[keV]   Qy[e-/keV]
# N_puntos = 2000
0.050000   0.000000
0.052476   0.000000
0.054952   0.000000
0.057429   0.000000
0.059905   0.000000
0.062381   0.000000
0.064857   0.000000
0.067334   0.000000
0.069810   0.000000
0.072286   0.000000
0.074762   0.000000
0.077239   0.000000
0.079715   0.000000
0.082191   0.000000
0.084667   0.000000
0.087144   0.000000
0.089620   0.000000
0.092096   0.000000
0.094572   0.000000
0.097049   0.000000
0.099525   0.000000
0.102001   0.000000
0.104477   0.000000
0.106953   0.000000
0.109430   0.000000
0.111906   0.000000
0.114382   0.000000
0.116858   0.000000
0.119335   0.000000
0.121811   0.000000
0.124287   0.000000
0.126763   0.000000
0.129240   0.000000
0.131716   0.000000
0.134192   0.000000
0.136668   0.000000
0.139145   0.000000
0.141621   0.000000
0.144097   0.000000
0.146573   0.000000
0.149050   0.000000
0.151526   0.000000
0.154002   0.000000
0.156478   0.000000
0.158954   0.000000
0.161431   0.000000
0.163907   0.000000
0.166383   0.000000
0.168859   0.000000
0.171336   0.000000
0.173812   0.000000
0.176288   0.000000
0.178764   0.000000
0.181241   0.000000
0.183717   0.000000
0.186193   0.000000
0.188669   0.000000
0.191146   0.000000
0.193622   0.000000
0.196098   0.000000
0.198574   0.000000
0.201051   0.000000
0.203527   0.000000
0.206003   0.000000
0.208479   0.000000
0.210955   0.000000
0.213432   0.000000
0.215908   0.000000
0.218384   0.000000
0.220860   0.000000
0.223337   0.000000
0.225813   0.000000
0.228289   0.000000
0.230765   0.000000
0.233242   0.000000
0.235718   0.000000
0.238194   0.000000
0.240670   0.000000
0.243147   0.000000
0.245623   0.000000
0.248099   0.000000
0.250575   0.000000
0.253052   0.000000
0.255528   0.000000
0.258004   0.000000
0.260480   0.000000
0.262956   0.000000
0.265433   0.000000
0.267909   0.000000
0.270385   0.000000
0.272861   0.000000
0.275338   0.000000
0.277814   0.000000
0.280290   0.000000
0.282766   0.000000
0.285243   0.000000
0.287719   0.000000
0.290195   0.000000
0.292671   0.000000
0.295148   0.000000
0.297624   0.000000
0.300100   0.000000
0.302576   0.000000
0.305053   0.000000
0.307529   0.000000
0.310005   0.000000
0.312481   0.000000
0.314957   0.000000
0.317434   0.000000
0.319910   0.000000
0.322386   0.000000
0.324862   0.000000
0.327339   0.000000
0.329815   0.000000
0.332291   0.000000
0.334767   0.000000
0.337244   0.000000
0.339720   0.000000
0.342196   0.000000
0.344672   0.000000
0.347149   0.000000
0.349625   0.000000
0.352101   0.000000
0.354577   0.000000
0.357054   0.000000
0.359530   0.000000
0.362006   0.000000
0.364482   0.000000
0.366958   0.000000
0.369435   0.000000
0.371911   0.000000
0.374387   0.000000
0.376863   0.000000
0.379340   0.000000
0.381816   0.000000
0.384292   0.000000
0.386768   0.000000
0.389245   0.000000
0.391721   0.000000
0.394197   0.000000
0.396673   0.000000
0.399150   0.000000
0.401626   0.000000
0.404102   0.000000
0.406578   0.000000
0.409055   0.000000
0.411531   0.000000
0.414007   0.000000
0.416483   0.000000
0.418959   0.000000
0.421436   0.000000
0.423912   0.000000
0.426388   0.000000
0.428864   0.000000
0.431341   0.000000
0.433817   0.000000
0.436293   0.000000
0.438769   0.000000
0.441246   0.000000
0.443722   0.000000
0.446198   0.000000
0.448674   0.000000
0.451151   0.000000
0.453627   0.000000
0.456103   0.000000
0.458579   0.000000
0.461056   0.000000
0.463532   0.000000
0.466008   0.000000
0.468484   0.000000
0.470960   0.000000
0.473437   0.000000
0.475913   0.000000
0.478389   0.000000
0.480865   0.000000
0.483342   0.000000
0.485818   0.000000
0.488294   0.000000
0.490770   0.000000
0.493247   0.000000
0.495723   0.000000
0.498199   0.000000
0.500675   0.000000
0.503152   0.000000
0.505628   0.000000
0.508104   0.000000
0.510580   0.000000
0.513057   0.000000
0.515533   0.000000
0.518009   0.000000
0.520485   0.000000
0.522961   0.000000
0.525438   0.000000
0.527914   0.000000
0.530390   0.000000
0.532866   0.000000
0.535343   0.000000
0.537819   0.000000
0.540295   0.000000
0.542771   0.000000
0.545248   0.000000
0.547724   0.000000
0.550200   0.000000
0.552676   0.000000
0.555153   0.000000
0.557629   0.000000
0.560105   0.000000
0.562581   0.000000
0.565058   0.000000
0.567534   0.000000
0.570010   0.000000
0.572486   0.000000
0.574962   0.000000
0.577439   0.000000
0.579915   0.000000
0.582391   0.000000
0.584867   0.000000
0.587344   0.000000
0.589820   0.000000
0.592296   0.000000
0.594772   0.000000
0.597249   0.000000
0.599725   0.000000
0.602201   0.000000
0.604677   0.000000
0.607154   0.000000
0.609630   0.000000
0.612106   0.000000
0.614582   0.000000
0.617059   0.000000
0.619535   0.000000
0.622011   0.000000
0.624487   0.000000
0.626963   0.000000
0.629440   0.000000
0.631916   0.000000
0.634392   0.000000
0.636868   0.000000
0.639345   0.000000
0.641821   0.000000
0.644297   0.000000
0.646773   0.000000
0.649250   0.000000
0.651726   0.000000
0.654202   0.000000
0.656678   0.000000
0.659155   0.000000
0.661631   0.000000
0.664107   0.000000
0.666583   0.000000
0.669060   0.000000
0.671536   0.000000
0.674012   0.000000
0.676488   0.000000
0.678964   0.000000
0.681441   0.000000
0.683917   0.000000
0.686393   0.000000
0.688869   0.000000
0.691346   0.000000
0.693822   0.000000
0.696298   0.000000
0.698774   0.000000
0.701251   0.000000
0.703727   0.000000
0.706203   0.000000
0.708679   0.000000
0.711156   0.000000
0.713632   0.000000
0.716108   0.000000
0.718584   0.000000
0.721061   0.000000
0.723537   0.000000
0.726013   0.000000
0.728489   0.000000
0.730965   0.000000
0.733442   0.000000
0.735918   0.000000
0.738394   0.000000
0.740870   0.000000
0.743347   0.000000
0.745823   0.000000
0.748299   0.000000
0.750775   0.000000
0.753252   0.000000
0.755728   0.000000
0.758204   0.000000
0.760680   0.000000
0.763157   0.000000
0.765633   0.000000
0.768109   0.000000
0.770585   0.000000
0.773062   0.000000
0.775538   0.000000
0.778014   0.000000
0.780490   0.000000
0.782966   0.000000
0.785443   0.000000
0.787919   0.000000
0.790395   0.000000
0.792871   0.000000
0.795348   0.000000
0.797824   0.000000
0.800300   0.000000
0.802776   0.000000
0.805253   0.000000
0.807729   0.000000
0.810205   0.000000
0.812681   0.000000
0.815158   0.000000
0.817634   0.000000
0.820110   0.000000
0.822586   0.000000
0.825063   0.000000
0.827539   0.000000
0.830015   0.000000
0.832491   0.000000
0.834967   0.000000
0.837444   0.000000
0.839920   0.000000
0.842396   0.000000
0.844872   0.000000
0.847349   0.000000
0.849825   0.000000
0.852301   0.000000
0.854777   0.000000
0.857254   0.000000
0.859730   0.000000
0.862206   0.000000
0.864682   0.000000
0.867159   0.000000
0.869635   0.000000
0.872111   0.000000
0.874587   0.000000
0.877064   0.000000
0.879540   0.000000
0.882016   0.000000
0.884492   0.000000
0.886968   0.000000
0.889445   0.000000
0.891921   0.000000
